loan_id,customer_id,loan_type_id,original_amount,current_balance,interest_rate,monthly_payment,late_payments,default_flag
L000087,C00058,2,31000,13400,19.0,1550,0,False
L000088,C00059,2,17000,11200,16.77,850,0,False
L000089,C00060,3,1695000,955900,3.03,7130,0,False
L000090,C00060,2,64000,36700,17.87,3200,0,False
L000091,C00061,3,1449000,1067400,3.05,7060,0,False
L000092,C00062,4,75000,57500,6.74,920,4,False
L000093,C00063,3,1234000,997500,2.82,4770,0,False
L000094,C00063,2,7000,5000,16.13,350,0,False
L000095,C00064,2,55000,15200,16.51,2750,1,False
L000096,C00065,1,230000,154100,6.38,9500,0,False
L000097,C00065,3,2033000,1615600,2.53,8640,1,False
L000098,C00066,3,1884000,1192600,2.27,6580,0,False
L000099,C00067,3,1055000,936200,2.81,4460,0,False
L000100,C00068,3,803000,560200,3.24,3510,0,False
L000101,C00069,1,83000,22700,6.0,1810,0,False
L000102,C00070,3,681000,624400,3.38,3640,0,False
L000103,C00071,2,46000,30100,15.32,2300,2,False
L000104,C00072,4,33000,26200,9.64,570,1,False
L000105,C00073,2,41000,10800,17.9,2050,0,False
L000106,C00074,2,5000,3700,17.65,250,2,False
L000107,C00075,2,42000,17900,18.68,2100,0,False
L000108,C00075,4,232000,116600,11.17,5070,0,False
L000109,C00076,2,16000,11200,15.35,800,0,False
L000110,C00077,4,140000,93200,7.69,1490,0,False
L000111,C00077,2,27000,5100,17.54,1350,3,False
L000112,C00077,3,2114000,1557100,2.74,9820,0,False
L000113,C00078,2,29000,9800,21.26,1450,0,False
L000114,C00079,3,1794000,1132400,2.8,6800,0,False
L000115,C00079,4,156000,86200,11.42,4030,0,False
L000116,C00079,2,31000,4900,15.89,1550,0,False
L000117,C00080,4,242000,124100,5.29,4430,0,False
L000118,C00081,1,239000,89100,6.15,3420,0,False
L000119,C00082,4,156000,119400,7.95,2110,0,False
L000120,C00082,3,1627000,792500,3.4,6640,0,False
L000121,C00082,1,440000,372400,8.16,8140,3,False
L000122,C00083,3,2089000,1087900,2.8,7410,0,False
L000123,C00083,4,121000,46200,8.74,1460,1,False
L000124,C00083,2,45000,9600,16.96,2250,3,False
L000125,C00083,1,109000,59200,6.09,1760,0,False
L000126,C00084,4,20000,12400,6.0,230,0,False
L000127,C00085,4,42000,37500,12.63,780,0,False
L000128,C00086,3,2277000,1038700,2.97,9670,0,False
L000129,C00087,4,377000,298100,10.07,5320,0,False
L000130,C00088,3,2167000,1474400,2.52,8140,0,False
L000131,C00089,3,1023000,656300,2.99,4140,0,False
L000132,C00090,4,407000,135400,8.12,15560,0,False
L000133,C00090,2,70000,30500,19.61,3500,0,False
L000134,C00091,3,1305000,877300,2.98,6550,0,False
L000135,C00091,4,248000,88700,9.52,4230,0,False
L000136,C00092,4,157000,97900,4.8,3970,0,True
L000137,C00092,2,21000,6300,14.85,1050,0,False
L000138,C00093,2,23000,1300,18.63,1150,2,False
L000139,C00093,1,125000,50200,9.87,2860,0,False
L000140,C00093,4,130000,39200,11.39,1290,4,True
L000141,C00094,3,1974000,1473500,2.96,7660,0,False
L000142,C00094,4,182000,84500,12.44,4920,1,False
L000143,C00095,1,230000,83400,8.21,4480,0,False
L000144,C00096,1,207000,175700,5.61,3410,1,False
L000145,C00097,3,2096000,1176800,2.53,7560,0,False
L000146,C00097,4,56000,17300,10.79,2010,0,False
L000147,C00097,2,42000,23500,15.77,2100,0,False
L000148,C00098,1,547000,360000,5.38,19810,0,False
L000149,C00099,2,7000,2400,23.49,350,0,False
L000150,C00100,3,1892000,1795000,2.4,8660,0,False
L000151,C00101,2,5000,2200,18.68,250,0,False
L000152,C00102,3,2564000,1472400,3.16,11580,0,False
L000153,C00103,3,1749000,1544000,3.16,8250,1,False
L000154,C00104,4,498000,225800,7.25,6100,0,False
L000155,C00105,3,779000,641300,3.49,3430,0,False
L000156,C00105,2,22000,15900,18.93,1100,2,False
L000157,C00106,2,28000,5300,15.76,1400,0,False
L000158,C00106,4,26000,11400,12.64,330,0,False
L000159,C00107,1,267000,82600,4.5,4510,0,False
L000160,C00107,4,76000,25100,10.33,1050,1,False
L000161,C00107,3,2221000,1705400,3.19,10920,0,False
L000162,C00108,4,275000,87500,7.68,5450,2,False
L000163,C00108,3,2612000,1713900,3.42,10900,0,False
L000164,C00109,2,35000,24200,14.62,1750,0,False
L000165,C00110,4,67000,20100,5.56,1600,0,False
L000166,C00110,3,1185000,680800,3.51,5700,4,False
L000167,C00111,3,846000,443000,2.48,3090,0,False
L000168,C00111,1,193000,109800,9.46,4690,0,False
L000169,C00112,3,1038000,834900,3.3,5180,0,False
L000170,C00112,2,55000,44900,12.95,2750,0,False
L000171,C00113,1,50000,42400,5.17,960,0,False
L000172,C00113,2,11000,1200,16.72,550,0,False
L000173,C00114,3,762000,368100,2.6,3270,0,False
L000174,C00114,4,51000,41800,7.97,1310,0,False
L000175,C00115,3,2560000,1437000,2.2,9380,0,False
L000176,C00116,4,69000,29800,8.82,2410,0,False
L000177,C00117,3,765000,486900,3.28,3030,0,False
L000178,C00118,3,1783000,814700,3.59,7620,0,False
L000179,C00118,2,14000,6100,18.74,700,0,False
L000180,C00119,3,1260000,1026500,2.83,5550,0,False
L000181,C00120,3,1293000,796700,2.68,5960,1,False
L000182,C00121,3,1225000,1143500,2.86,5230,0,False
L000183,C00122,2,11000,8700,19.35,550,0,False
L000184,C00123,3,1938000,1259700,2.64,8220,0,False
L000185,C00123,4,187000,148300,10.78,3640,0,False
L000186,C00124,3,792000,378700,2.77,2850,0,False
L000187,C00125,3,981000,831800,2.81,4290,0,False
L000188,C00126,2,17000,9900,17.89,850,4,True
L000189,C00127,3,813000,611300,3.08,3270,3,False
L000190,C00127,1,91000,33700,5.57,2190,0,False
L000191,C00127,4,119000,36500,8.67,5370,0,False
L000192,C00128,4,169000,138700,9.41,7190,0,False
L000193,C00129,1,341000,95800,9.05,9110,0,False
L000194,C00130,1,108000,43700,7.89,3070,0,False
L000195,C00131,2,46000,24100,17.97,2300,1,False
L000196,C00132,1,473000,217500,5.47,6560,4,True
L000197,C00132,3,2035000,1531300,3.17,9220,0,False
L000198,C00133,3,685000,592800,2.76,2780,0,False
L000199,C00133,2,11000,2100,18.36,550,0,False
L000200,C00134,1,294000,113000,7.11,10640,1,False
L000201,C00135,3,1937000,1366200,3.42,7590,0,False
L000202,C00136,3,1207000,772500,2.65,4290,0,False
L000203,C00136,2,29000,21100,17.97,1450,0,False
L000204,C00137,3,976000,730000,3.13,5000,0,False
L000205,C00138,3,2379000,1355800,3.02,8880,0,False
L000206,C00139,3,2771000,2425700,2.79,12550,1,False
L000207,C00139,2,56000,23100,21.27,2800,0,True
L000208,C00140,4,74000,46300,6.15,810,0,False
L000209,C00141,3,776000,380400,2.93,2740,0,False
L000210,C00142,2,24000,18600,16.9,1200,1,False
L000211,C00143,3,1134000,865900,2.9,4850,0,False
L000212,C00144,1,449000,314400,7.45,16010,0,False
L000213,C00145,4,84000,51400,10.46,2380,0,False
L000214,C00146,1,193000,66500,7.91,2790,0,False
L000215,C00147,3,1054000,756400,3.62,5550,0,False
L000216,C00148,2,51000,27400,20.57,2550,0,False
L000217,C00149,2,30000,11500,16.52,1500,0,False
L000218,C00150,4,50000,33900,10.71,600,0,False
L000219,C00151,3,780000,604000,2.2,3800,0,False
L000220,C00151,2,31000,18400,19.05,1550,0,False
L000221,C00152,3,1841000,1361900,3.05,8410,0,False
L000222,C00153,2,47000,5000,20.1,2350,0,False
L000223,C00153,4,342000,156600,6.78,3600,1,False
L000224,C00154,1,362000,238800,4.11,7060,0,False
L000225,C00155,1,212000,91000,7.49,2900,0,False
L000226,C00156,1,73000,52300,8.86,1950,0,False
L000227,C00156,2,15000,11200,19.45,750,0,False
L000228,C00156,4,38000,26600,8.93,470,0,False
L000229,C00157,3,867000,818200,2.56,4100,0,False
L000230,C00157,2,19000,12900,18.0,950,1,False
L000231,C00158,3,1119000,568400,2.89,4330,2,False
L000232,C00158,4,140000,66700,5.47,2070,0,False
L000233,C00158,2,57000,20500,19.42,2850,0,False
L000234,C00158,1,183000,102200,7.18,4770,0,False
L000235,C00159,1,278000,113000,5.36,8970,0,False
L000236,C00160,1,151000,120000,5.35,2640,0,True
L000237,C00161,3,1537000,942300,3.49,6730,0,False
L000238,C00161,2,66000,34800,17.38,3300,0,False
L000239,C00161,1,463000,376800,6.71,9140,0,False
L000240,C00162,2,24000,5000,11.25,1200,0,False
L000241,C00163,4,114000,98700,6.63,2890,2,False
L000242,C00164,3,2122000,1872500,3.13,8950,3,False
L000243,C00164,2,76000,62300,14.84,3800,0,False
L000244,C00164,4,290000,63500,8.46,9330,0,False
L000245,C00165,3,1724000,1511800,2.61,7030,0,False
L000246,C00166,3,873000,758300,3.27,4510,0,False
L000247,C00167,4,248000,214300,11.16,8460,3,False
L000248,C00167,3,1620000,897200,3.22,7120,0,False
L000249,C00167,2,48000,10700,16.18,2400,0,False
L000250,C00168,2,62000,28700,16.53,3100,3,False
L000251,C00169,2,9000,4000,21.44,450,4,True
L000252,C00169,1,58000,24700,7.19,810,1,False
L000253,C00170,2,62000,17500,15.97,3100,1,False
L000254,C00170,1,300000,89800,5.97,4140,1,False
L000255,C00170,3,1229000,614100,2.65,4360,4,True
L000256,C00170,4,183000,157300,8.06,2480,0,False
L000257,C00171,1,233000,177400,7.82,3400,0,False
L000258,C00172,2,20000,9700,19.29,1000,0,False
L000259,C00173,4,263000,220200,6.85,3140,0,False
L000260,C00173,1,250000,152100,8.04,5790,0,False
L000261,C00173,2,20000,12800,17.46,1000,0,False
L000262,C00173,3,1522000,955800,3.52,5850,0,False
L000263,C00174,4,230000,143500,9.6,3380,0,True
L000264,C00174,2,21000,1800,14.97,1050,0,False
L000265,C00174,3,1722000,1501400,2.57,7650,0,False
L000266,C00174,1,96000,59800,7.11,2400,0,False
L000267,C00175,4,73000,24500,9.07,1010,0,False
L000268,C00176,3,1650000,864900,4.25,7120,0,False
L000269,C00177,1,338000,223600,6.94,4990,0,False
L000270,C00178,3,2261000,1667000,2.71,11130,0,False
L000271,C00178,1,294000,175000,4.9,6410,0,False
L000272,C00179,2,13000,8200,12.94,650,0,False
L000273,C00180,3,1195000,803000,2.94,4730,3,False
L000274,C00180,4,102000,45800,10.92,1180,1,False
L000275,C00181,1,162000,53100,6.64,2570,1,False
L000276,C00181,2,30000,6800,14.68,1500,1,True
L000277,C00181,4,341000,260700,10.2,7880,0,False
L000278,C00181,3,2183000,1293400,3.16,8660,0,False
L000279,C00182,1,120000,35900,6.6,2100,1,False
L000280,C00182,2,40000,6500,15.24,2000,0,False
L000281,C00183,4,81000,51500,8.96,890,0,False
L000282,C00184,1,259000,109900,6.12,3840,0,False
L000283,C00185,3,1487000,1385200,2.89,6610,0,False
L000284,C00186,3,1372000,678000,2.91,5430,0,False
L000285,C00186,1,467000,350900,7.79,14710,0,True
L000286,C00187,3,1603000,1078800,3.34,6840,0,False
L000287,C00188,2,11000,6900,20.32,550,0,False
L000288,C00189,2,37000,6200,16.16,1850,1,False
L000289,C00189,3,1763000,934100,3.01,6850,0,False
L000290,C00190,3,769000,447200,3.03,3180,0,False
L000291,C00191,3,1863000,1131700,3.1,8310,1,False
L000292,C00192,4,28000,20600,11.71,380,0,False
L000293,C00193,3,1011000,921400,2.67,5190,0,False
L000294,C00193,4,95000,25300,10.51,1060,0,False
L000295,C00194,3,644000,472800,3.35,3250,0,False
L000296,C00195,3,1218000,562400,3.13,5110,2,False
L000297,C00195,2,15000,6200,22.3,750,0,False
L000298,C00196,4,280000,104400,5.8,4000,0,False
L000299,C00196,3,2172000,1922300,2.66,8660,0,False
L000300,C00197,2,49000,34000,20.76,2450,0,False
L000301,C00197,4,98000,38500,8.88,1900,0,False
L000302,C00197,3,1118000,1027400,3.03,5160,2,False
L000303,C00198,2,31000,8400,17.36,1550,0,False
L000304,C00199,1,274000,72400,7.61,3540,0,False
L000305,C00200,1,96000,84200,7.7,3190,0,False
L000306,C00200,3,1334000,689000,2.6,5330,0,False
L000307,C00200,2,34000,19600,22.0,1700,0,False
L000308,C00201,4,318000,198800,4.5,7760,3,True
L000309,C00201,3,1903000,1098700,2.62,6870,1,False
L000310,C00201,2,70000,29700,17.11,3500,0,False
L000311,C00201,1,333000,135300,9.39,4800,1,False
L000312,C00202,4,216000,85300,8.42,6420,0,False
L000313,C00202,2,20000,6400,17.02,1000,0,False
L000314,C00203,2,20000,3100,18.06,1000,0,False
L000315,C00203,3,559000,429000,3.7,2530,1,False
L000316,C00204,2,8000,4800,18.62,400,0,False
L000317,C00205,4,64000,36000,11.09,2300,0,False
L000318,C00206,1,246000,85700,5.59,3170,1,False
L000319,C00207,1,50000,33800,8.51,1250,0,False
L000320,C00208,2,65000,14000,19.56,3250,0,False
L000321,C00208,3,3066000,2193600,2.85,13090,0,False
L000322,C00208,1,221000,75900,8.34,4280,3,False
L000323,C00209,2,5000,1900,19.24,250,0,False
L000324,C00210,2,12000,9400,17.5,600,3,False
L000325,C00210,3,1825000,1527800,3.2,7730,1,False
L000326,C00210,4,181000,90600,6.35,3270,0,False
L000327,C00210,1,107000,38000,10.13,1820,1,False
L000328,C00211,3,2104000,1243400,2.61,7610,3,False
L000329,C00211,1,360000,244900,8.23,7700,0,False
L000330,C00212,3,1440000,1181300,2.86,7240,0,False
L000331,C00213,1,50000,14100,6.67,870,0,False
L000332,C00214,4,279000,166300,10.37,4250,1,False
L000333,C00215,3,1095000,964600,2.63,5290,0,False
L000334,C00216,4,140000,101400,6.95,1530,0,False
L000335,C00217,2,40000,16600,18.51,2000,0,False
L000336,C00218,2,54000,15500,15.39,2700,2,False
L000337,C00218,3,1376000,1246400,3.4,6130,0,False
L000338,C00219,2,19000,4700,16.01,950,0,False
L000339,C00220,1,50000,39500,7.09,810,0,False
L000340,C00221,3,1162000,844100,2.75,4730,0,False
L000341,C00222,2,45000,24600,16.27,2250,0,False
L000342,C00222,1,433000,254500,5.75,6700,0,False
L000343,C00223,2,36000,15700,14.54,1800,1,False
L000344,C00224,1,349000,168200,8.24,4820,1,False
L000345,C00224,3,1978000,1643000,3.17,10630,1,False
L000346,C00225,3,2505000,1902600,2.36,9700,0,False
L000347,C00226,3,864000,513200,3.13,3620,0,False
L000348,C00227,4,123000,46200,10.8,1620,0,False
L000349,C00228,3,1725000,1076900,2.78,6900,0,False
L000350,C00229,2,46000,33700,16.37,2300,0,False
L000351,C00229,3,1052000,872600,2.72,4350,0,False
L000352,C00230,4,69000,31500,8.04,960,0,False
L000353,C00231,4,182000,45100,13.08,2230,0,False
L000354,C00232,3,2201000,1921300,2.96,11610,0,False
L000355,C00232,2,64000,47400,22.0,3200,0,False
L000356,C00233,3,2124000,1232900,2.62,7800,0,False
L000357,C00234,2,20000,8400,16.08,1000,0,False
L000358,C00234,4,94000,83900,6.11,1040,0,False
L000359,C00234,1,50000,38300,7.75,1870,0,False
L000360,C00235,2,18000,12600,19.2,900,0,False
L000361,C00236,2,17000,11200,22.91,850,0,False
L000362,C00236,4,46000,36700,8.34,740,0,False
L000363,C00237,2,25000,18900,21.69,1250,0,False
L000364,C00237,3,2843000,1959100,2.81,13410,0,False
L000365,C00238,2,52000,26900,17.83,2600,1,False
L000366,C00239,3,684000,352400,3.14,3200,0,False
L000367,C00240,4,85000,74600,7.84,2920,0,False
L000368,C00240,2,54000,9300,17.98,2700,0,False
L000369,C00241,3,624000,367300,2.69,2410,1,False
L000370,C00242,4,90000,66400,7.22,1080,2,False
L000371,C00243,4,72000,18700,7.38,1760,3,False
L000372,C00244,2,68000,47000,20.75,3400,0,False
L000373,C00245,1,50000,28900,8.31,930,0,False
L000374,C00246,3,1306000,891200,3.06,5880,0,False
L000375,C00247,2,26000,20500,21.25,1300,0,False
L000376,C00247,4,274000,187900,8.29,6750,0,False
L000377,C00247,1,336000,170700,3.5,4640,0,False
L000378,C00248,3,1331000,979900,3.3,5490,0,False
L000379,C00249,4,23000,19200,9.32,290,0,False
L000380,C00250,2,12000,2000,15.66,600,3,False
L000381,C00251,2,24000,7700,18.56,1200,0,False
L000382,C00251,3,1058000,526100,2.89,4950,0,False
L000383,C00252,2,22000,7400,14.67,1100,0,False
L000384,C00252,3,1094000,601100,2.75,4790,0,False
L000385,C00253,3,790000,413300,2.42,3290,0,False
L000386,C00254,1,364000,280100,7.43,8110,0,False
L000387,C00255,3,1325000,633900,3.12,5610,0,False
L000388,C00256,4,268000,64200,9.68,11000,2,False
L000389,C00256,2,39000,3300,12.93,1950,1,False
L000390,C00256,3,1854000,1572600,3.14,8940,0,False
L000391,C00257,3,1236000,621500,3.43,6040,0,False
L000392,C00257,1,66000,17600,5.83,880,0,False
L000393,C00258,1,293000,100700,6.05,5870,0,False
L000394,C00258,3,1349000,829800,3.13,5780,0,False
L000395,C00258,4,326000,252400,7.58,4930,1,False
L000396,C00258,2,56000,24600,17.12,2800,0,False
L000397,C00259,2,18000,10500,18.41,900,0,False
L000398,C00259,3,1609000,800100,3.23,5950,0,False
L000399,C00259,1,129000,52500,5.13,3210,0,False
L000400,C00260,4,171000,85300,10.84,4120,0,False
L000401,C00261,1,453000,238900,5.93,7450,0,False
L000402,C00262,3,983000,885000,3.53,4750,0,False
L000403,C00263,3,629000,487000,3.02,3210,0,False
L000404,C00264,4,273000,138400,7.27,5770,1,False
L000405,C00265,4,19000,13900,7.19,620,0,False
L000406,C00266,2,19000,13900,15.36,950,0,False
L000407,C00267,3,1964000,1065700,3.13,7560,0,False
L000408,C00268,4,113000,48800,7.41,1120,0,False
L000409,C00268,3,2117000,1151200,2.2,7410,1,False
L000410,C00268,2,55000,4100,17.78,2750,0,False
L000411,C00269,1,229000,193500,3.5,4020,0,False
L000412,C00269,2,37000,18000,19.56,1850,0,False
L000413,C00270,3,1083000,622100,3.35,4830,0,False
L000414,C00270,1,315000,134400,3.88,6340,0,False
L000415,C00271,2,27000,21400,13.66,1350,0,False
L000416,C00272,2,25000,11100,16.92,1250,0,False
L000417,C00273,4,128000,101300,4.5,3580,0,False
L000418,C00274,4,138000,103000,8.26,1880,1,False
L000419,C00275,2,31000,12300,15.28,1550,0,False
L000420,C00276,3,1627000,1127500,2.87,6440,0,False
L000421,C00277,3,2265000,2026400,2.74,11260,0,False
L000422,C00277,4,259000,67200,8.08,8660,0,False
L000423,C00278,4,147000,51300,9.59,2660,0,False
L000424,C00279,3,1499000,883900,3.39,5900,0,False
L000425,C00279,2,19000,3900,16.12,950,0,False
L000426,C00279,4,256000,158300,8.62,3440,0,False
L000427,C00280,3,928000,474900,2.64,3620,0,False
L000428,C00281,3,1359000,1185700,2.45,5530,0,False
L000429,C00281,2,11000,5100,18.29,550,0,False
L000430,C00282,2,40000,18300,19.95,2000,0,False
L000431,C00282,3,1422000,711200,2.98,4970,0,False
L000432,C00282,4,400000,254000,7.81,6180,0,False
L000433,C00283,2,16000,3300,11.36,800,0,False
L000434,C00284,3,879000,683400,3.21,4230,0,False
L000435,C00285,2,25000,14900,16.72,1250,0,False
L000436,C00285,1,241000,112600,7.13,6610,0,False
L000437,C00286,2,11000,1700,20.89,550,0,False
L000438,C00286,4,43000,9500,10.12,540,0,False
L000439,C00287,4,51000,26900,11.93,990,0,False
L000440,C00287,3,971000,455900,2.94,4590,1,False
L000441,C00288,3,1854000,858500,3.96,9050,0,False
L000442,C00288,2,41000,23800,19.63,2050,0,False
L000443,C00289,4,244000,150000,6.93,6980,1,False
L000444,C00290,2,10000,8200,23.69,500,0,False
L000445,C00290,1,138000,49400,9.36,4700,1,False
L000446,C00291,2,5000,1400,16.7,250,1,False
L000447,C00292,2,8000,3600,19.57,400,1,False
L000448,C00293,3,1011000,617300,3.03,4350,0,False
L000449,C00294,3,2570000,1568000,3.19,12490,0,False
L000450,C00295,2,79000,17600,15.81,3950,0,False
L000451,C00296,4,94000,50800,9.8,1030,0,False
L000452,C00296,2,19000,15300,22.02,950,1,False
L000453,C00296,3,1316000,1134900,3.6,6880,0,False
L000454,C00297,3,1269000,1023600,2.73,6380,0,False
L000455,C00298,2,58000,28100,15.81,2900,0,False
L000456,C00299,3,999000,611900,3.26,3760,3,False
L000457,C00299,1,87000,38000,8.34,1200,0,False
L000458,C00300,1,50000,32700,7.31,880,1,False
L000459,C00301,2,5000,2000,16.82,250,0,False
L000460,C00302,3,2508000,2086000,3.7,13110,1,False
L000461,C00303,2,14000,1300,16.1,700,0,False
L000462,C00303,3,1727000,1163900,3.02,7680,0,False
L000463,C00304,4,56000,46500,8.79,820,0,False
L000464,C00305,3,1081000,707600,3.15,4270,2,False
L000465,C00306,3,899000,490800,2.45,3960,1,False
L000466,C00306,2,25000,17500,19.77,1250,0,False
L000467,C00307,3,1482000,1063200,3.02,6910,0,False
L000468,C00307,4,59000,39200,8.98,1790,0,False
L000469,C00307,2,30000,4500,19.5,1500,0,False
L000470,C00307,1,132000,81500,7.03,5050,0,False
L000471,C00308,3,1274000,763900,2.53,5060,0,False
L000472,C00309,2,39000,8700,14.07,1950,0,False
L000473,C00310,2,42000,13300,19.95,2100,0,False
L000474,C00311,3,1401000,1312100,2.9,5930,0,False
L000475,C00311,2,17000,6800,21.11,850,0,False
L000476,C00312,2,20000,10300,17.79,1000,0,False
L000477,C00313,1,66000,39300,5.52,900,0,False
L000478,C00314,2,16000,8100,19.13,800,0,False
L000479,C00315,3,1352000,1124400,2.87,6740,2,False
L000480,C00315,2,10000,6400,16.89,500,0,False
L000481,C00315,4,225000,200200,7.29,4290,0,False
L000482,C00315,1,260000,197600,5.43,6650,0,False
L000483,C00316,2,26000,18300,16.9,1300,0,False
L000484,C00316,3,1200000,595400,3.78,4940,0,False
L000485,C00317,3,998000,634900,3.13,3700,0,False
L000486,C00317,2,16000,13500,19.9,800,0,False
L000487,C00318,2,23000,14000,18.68,1150,0,False
L000488,C00318,3,1448000,1113500,2.69,6890,0,False
L000489,C00319,3,1273000,924200,3.17,5780,0,False
L000490,C00320,3,1760000,931800,2.95,7350,0,False
L000491,C00321,3,3298000,1486500,3.55,11560,0,False
L000492,C00322,3,2033000,1342300,3.48,9750,0,False
L000493,C00322,2,59000,21400,18.54,2950,0,False
L000494,C00323,1,351000,280000,7.05,6840,4,True
L000495,C00323,3,1890000,1733300,2.94,9150,1,False
L000496,C00323,4,232000,111300,8.82,7860,0,False
L000497,C00324,4,76000,45700,10.33,1360,0,False
L000498,C00324,2,37000,19400,16.22,1850,0,False
L000499,C00325,4,140000,117000,6.45,5420,0,False
L000500,C00326,4,66000,49400,11.59,1040,0,False
L000501,C00327,3,1153000,869400,3.25,5810,0,False
L000502,C00327,2,21000,7200,22.3,1050,1,False
L000503,C00327,1,231000,88300,7.33,3440,0,False
L000504,C00328,1,116000,59500,8.23,2140,0,False
L000505,C00328,3,859000,725100,2.4,3730,0,False
L000506,C00329,3,1589000,1116600,3.32,7880,0,False
L000507,C00330,2,42000,24400,15.82,2100,0,False
L000508,C00330,4,235000,136400,9.88,3780,1,False
L000509,C00330,3,1954000,1474300,2.2,7970,1,False
L000510,C00331,3,1139000,781300,2.94,4350,0,False
