employment_id,customer_id,employment_status,monthly_income,valid_from,valid_to
78,C00078,Temporary/Probation/Freelance,39000,2026-09-10,
79,C00079,Permanent employment,42000,2026-09-10,
80,C00080,Permanent employment,39100,2026-09-10,
81,C00081,Permanent employment,39500,2026-09-10,
82,C00082,Permanent employment,45500,2026-09-10,
83,C00083,Permanent employment,50700,2026-09-10,
84,C00084,Student,9900,2026-09-10,
85,C00085,Unemployed,11900,2026-09-10,
86,C00086,Permanent employment,47000,2026-09-10,
87,C00087,Permanent employment,55700,2026-09-10,
88,C00088,Permanent employment,45200,2026-09-10,
89,C00089,Permanent employment,34100,2026-09-10,
90,C00090,Permanent employment,58200,2026-09-10,
91,C00091,Permanent employment,32300,2026-09-10,
92,C00092,Self-employed,30900,2026-09-10,
93,C00093,Unemployed,18000,2026-09-10,
94,C00094,Permanent employment,42100,2026-09-10,
95,C00095,Permanent employment,46500,2026-09-10,
96,C00096,Permanent employment,48000,2026-09-10,
97,C00097,Permanent employment,48100,2026-09-10,
98,C00098,Permanent employment,55100,2026-09-10,
99,C00099,Student,8700,2026-09-10,
100,C00100,Permanent employment,38200,2026-09-10,
101,C00101,Student,5400,2026-09-10,
102,C00102,Permanent employment,48200,2026-09-10,
103,C00103,Permanent employment,46400,2026-09-10,
104,C00104,Self-employed,67600,2026-09-10,
105,C00105,Retired,26500,2026-09-10,
106,C00106,Student,18700,2026-09-10,
107,C00107,Permanent employment,44100,2026-09-10,
108,C00108,Self-employed,49200,2026-09-10,
109,C00109,Permanent employment,38500,2026-09-10,
110,C00110,Permanent employment,25100,2026-09-10,
111,C00111,Permanent employment,31300,2026-09-10,
112,C00112,Permanent employment,39600,2026-09-10,
113,C00113,Retired,12700,2026-09-10,
114,C00114,Retired,27100,2026-09-10,
115,C00115,Permanent employment,51100,2026-09-10,
116,C00116,Retired,23500,2026-09-10,
117,C00117,Retired,26600,2026-09-10,
118,C00118,Temporary/Probation/Freelance,33300,2026-09-10,
119,C00119,Retired,30600,2026-09-10,
120,C00120,Permanent employment,44300,2026-09-10,
121,C00121,Permanent employment,34500,2026-09-10,
122,C00122,Retired,12000,2026-09-10,
123,C00123,Permanent employment,42600,2026-09-10,
124,C00124,Permanent employment,26600,2026-09-10,
125,C00125,Permanent employment,38300,2026-09-10,
126,C00126,Student,11300,2026-09-10,
127,C00127,Retired,20200,2026-09-10,
128,C00128,Retired,29100,2026-09-10,
129,C00129,Self-employed,47900,2026-09-10,
130,C00130,Unemployed,11400,2026-09-10,
131,C00131,Permanent employment,41800,2026-09-10,
132,C00132,Permanent employment,47400,2026-09-10,
133,C00133,Permanent employment,26100,2026-09-10,
134,C00134,Permanent employment,43300,2026-09-10,
135,C00135,Permanent employment,44400,2026-09-10,
136,C00136,Permanent employment,40700,2026-09-10,
137,C00137,Self-employed,32000,2026-09-10,
138,C00138,Permanent employment,50700,2026-09-10,
139,C00139,Permanent employment,59300,2026-09-10,
140,C00140,Retired,21600,2026-09-10,
141,C00141,Retired,24100,2026-09-10,
142,C00142,Permanent employment,42100,2026-09-10,
143,C00143,Permanent employment,37900,2026-09-10,
144,C00144,Permanent employment,45500,2026-09-10,
145,C00145,Permanent employment,55700,2026-09-10,
146,C00146,Unemployed,23500,2026-09-10,
147,C00147,Temporary/Probation/Freelance,20000,2026-09-10,
148,C00148,Permanent employment,38700,2026-09-10,
149,C00149,Temporary/Probation/Freelance,26500,2026-09-10,
150,C00150,Unemployed,12500,2026-09-10,
151,C00151,Retired,31500,2026-09-10,
152,C00152,Permanent employment,38200,2026-09-10,
153,C00153,Permanent employment,45000,2026-09-10,
154,C00154,Permanent employment,46700,2026-09-10,
155,C00155,Retired,23100,2026-09-10,
156,C00156,Student,12200,2026-09-10,
157,C00157,Permanent employment,27100,2026-09-10,
158,C00158,Permanent employment,40700,2026-09-10,
159,C00159,Permanent employment,36000,2026-09-10,
160,C00160,Permanent employment,33300,2026-09-10,
161,C00161,Permanent employment,54400,2026-09-10,
162,C00162,Retired,22200,2026-09-10,
163,C00163,Permanent employment,45600,2026-09-10,
164,C00164,Permanent employment,51100,2026-09-10,
165,C00165,Permanent employment,32200,2026-09-10,
166,C00166,Retired,25900,2026-09-10,
167,C00167,Permanent employment,33600,2026-09-10,
168,C00168,Permanent employment,41800,2026-09-10,
169,C00169,Student,7200,2026-09-10,
170,C00170,Permanent employment,43000,2026-09-10,
171,C00171,Self-employed,65200,2026-09-10,
172,C00172,Student,19100,2026-09-10,
173,C00173,Permanent employment,40000,2026-09-10,
174,C00174,Permanent employment,32000,2026-09-10,
175,C00175,Student,13400,2026-09-10,
176,C00176,Temporary/Probation/Freelance,35100,2026-09-10,
177,C00177,Permanent employment,34700,2026-09-10,
178,C00178,Permanent employment,44800,2026-09-10,
179,C00179,Retired,23700,2026-09-10,
180,C00180,Permanent employment,37700,2026-09-10,
181,C00181,Permanent employment,49600,2026-09-10,
182,C00182,Permanent employment,48600,2026-09-10,
183,C00183,Retired,22300,2026-09-10,
184,C00184,Retired,36500,2026-09-10,
185,C00185,Permanent employment,37100,2026-09-10,
186,C00186,Permanent employment,54400,2026-09-10,
187,C00187,Self-employed,52600,2026-09-10,
188,C00188,Student,15400,2026-09-10,
189,C00189,Temporary/Probation/Freelance,37600,2026-09-10,
190,C00190,Temporary/Probation/Freelance,23500,2026-09-10,
191,C00191,Self-employed,51600,2026-09-10,
192,C00192,Retired,17500,2026-09-10,
193,C00193,Retired,23200,2026-09-10,
194,C00194,Temporary/Probation/Freelance,20800,2026-09-10,
195,C00195,Self-employed,41400,2026-09-10,
196,C00196,Permanent employment,45400,2026-09-10,
197,C00197,Permanent employment,37000,2026-09-10,
198,C00198,Retired,23900,2026-09-10,
199,C00199,Retired,29500,2026-09-10,
200,C00200,Permanent employment,36100,2026-09-10,
201,C00201,Permanent employment,49200,2026-09-10,
202,C00202,Permanent employment,44500,2026-09-10,
203,C00203,Temporary/Probation/Freelance,22400,2026-09-10,
204,C00204,Temporary/Probation/Freelance,15000,2026-09-10,
205,C00205,Permanent employment,52600,2026-09-10,
206,C00206,Permanent employment,28300,2026-09-10,
207,C00207,Unemployed,14000,2026-09-10,
208,C00208,Permanent employment,57200,2026-09-10,
209,C00209,Student,12100,2026-09-10,
210,C00210,Permanent employment,41300,2026-09-10,
211,C00211,Permanent employment,44900,2026-09-10,
212,C00212,Permanent employment,41700,2026-09-10,
213,C00213,Unemployed,13700,2026-09-10,
214,C00214,Permanent employment,37000,2026-09-10,
215,C00215,Permanent employment,31200,2026-09-10,
216,C00216,Permanent employment,31000,2026-09-10,
217,C00217,Permanent employment,44600,2026-09-10,
218,C00218,Retired,38200,2026-09-10,
219,C00219,Permanent employment,33300,2026-09-10,
220,C00220,Retired,20300,2026-09-10,
221,C00221,Permanent employment,39300,2026-09-10,
222,C00222,Permanent employment,49800,2026-09-10,
223,C00223,Permanent employment,38700,2026-09-10,
224,C00224,Permanent employment,40500,2026-09-10,
225,C00225,Permanent employment,53100,2026-09-10,
226,C00226,Permanent employment,31100,2026-09-10,
227,C00227,Retired,20300,2026-09-10,
228,C00228,Permanent employment,37200,2026-09-10,
229,C00229,Retired,30800,2026-09-10,
230,C00230,Permanent employment,42700,2026-09-10,
231,C00231,Permanent employment,38000,2026-09-10,
232,C00232,Permanent employment,48100,2026-09-10,
233,C00233,Permanent employment,56100,2026-09-10,
234,C00234,Temporary/Probation/Freelance,15000,2026-09-10,
235,C00235,Student,13100,2026-09-10,
236,C00236,Unemployed,20900,2026-09-10,
237,C00237,Permanent employment,55900,2026-09-10,
238,C00238,Self-employed,40500,2026-09-10,
239,C00239,Retired,24600,2026-09-10,
240,C00240,Self-employed,48700,2026-09-10,
241,C00241,Retired,22100,2026-09-10,
242,C00242,Retired,30400,2026-09-10,
243,C00243,Retired,12700,2026-09-10,
244,C00244,Permanent employment,49000,2026-09-10,
245,C00245,Student,9600,2026-09-10,
246,C00246,Retired,31000,2026-09-10,
247,C00247,Permanent employment,52800,2026-09-10,
248,C00248,Retired,24700,2026-09-10,
249,C00249,Retired,19500,2026-09-10,
250,C00250,Unemployed,18200,2026-09-10,
251,C00251,Permanent employment,36100,2026-09-10,
252,C00252,Permanent employment,37600,2026-09-10,
253,C00253,Retired,23400,2026-09-10,
254,C00254,Permanent employment,41400,2026-09-10,
255,C00255,Permanent employment,36500,2026-09-10,
256,C00256,Permanent employment,42900,2026-09-10,
257,C00257,Retired,23700,2026-09-10,
258,C00258,Permanent employment,53400,2026-09-10,
259,C00259,Permanent employment,36900,2026-09-10,
260,C00260,Permanent employment,34700,2026-09-10,
261,C00261,Permanent employment,50800,2026-09-10,
262,C00262,Retired,24200,2026-09-10,
263,C00263,Temporary/Probation/Freelance,22200,2026-09-10,
264,C00264,Permanent employment,44400,2026-09-10,
265,C00265,Retired,13300,2026-09-10,
266,C00266,Unemployed,18100,2026-09-10,
267,C00267,Permanent employment,43800,2026-09-10,
268,C00268,Permanent employment,58400,2026-09-10,
269,C00269,Permanent employment,37200,2026-09-10,
270,C00270,Permanent employment,40300,2026-09-10,
271,C00271,Temporary/Probation/Freelance,31400,2026-09-10,
272,C00272,Retired,33100,2026-09-10,
273,C00273,Retired,20500,2026-09-10,
274,C00274,Retired,19000,2026-09-10,
275,C00275,Permanent employment,45500,2026-09-10,
276,C00276,Permanent employment,40300,2026-09-10,
277,C00277,Permanent employment,46300,2026-09-10,
278,C00278,Permanent employment,43500,2026-09-10,
279,C00279,Permanent employment,47900,2026-09-10,
280,C00280,Retired,30200,2026-09-10,
281,C00281,Retired,26500,2026-09-10,
282,C00282,Permanent employment,53100,2026-09-10,
283,C00283,Self-employed,38900,2026-09-10,
284,C00284,Permanent employment,27900,2026-09-10,
285,C00285,Permanent employment,37500,2026-09-10,
286,C00286,Student,9600,2026-09-10,
287,C00287,Parental leave,32500,2026-09-10,
288,C00288,Self-employed,55500,2026-09-10,
289,C00289,Permanent employment,40500,2026-09-10,
290,C00290,Unemployed,17500,2026-09-10,
291,C00291,Student,0,2026-09-10,
292,C00292,Student,7300,2026-09-10,
293,C00293,Retired,27400,2026-09-10,
294,C00294,Self-employed,61400,2026-09-10,
295,C00295,Self-employed,58600,2026-09-10,
296,C00296,Temporary/Probation/Freelance,37400,2026-09-10,
297,C00297,Permanent employment,44200,2026-09-10,
298,C00298,Self-employed,42800,2026-09-10,
299,C00299,Permanent employment,29900,2026-09-10,
300,C00300,Unemployed,13000,2026-09-10,
301,C00301,Student,4300,2026-09-10,
302,C00302,Self-employed,56100,2026-09-10,
303,C00303,Permanent employment,35400,2026-09-10,
304,C00304,Retired,22800,2026-09-10,
305,C00305,Permanent employment,34700,2026-09-10,
306,C00306,Retired,23800,2026-09-10,
307,C00307,Self-employed,42600,2026-09-10,
308,C00308,Permanent employment,32700,2026-09-10,
309,C00309,Retired,26300,2026-09-10,
310,C00310,Permanent employment,43000,2026-09-10,
311,C00311,Permanent employment,45200,2026-09-10,
312,C00312,Self-employed,37500,2026-09-10,
313,C00313,Permanent employment,25000,2026-09-10,
314,C00314,Retired,29200,2026-09-10,
315,C00315,Retired,31100,2026-09-10,
316,C00316,Retired,30700,2026-09-10,
317,C00317,Permanent employment,35400,2026-09-10,
318,C00318,Permanent employment,47700,2026-09-10,
319,C00319,Temporary/Probation/Freelance,34500,2026-09-10,
320,C00320,Permanent employment,46700,2026-09-10,
321,C00321,Self-employed,67200,2026-09-10,
322,C00322,Permanent employment,45400,2026-09-10,
323,C00323,Permanent employment,37400,2026-09-10,
324,C00324,Permanent employment,39700,2026-09-10,
325,C00325,Retired,19100,2026-09-10,
326,C00326,Unemployed,13300,2026-09-10,
327,C00327,Self-employed,27200,2026-09-10,
328,C00328,Permanent employment,33000,2026-09-10,
329,C00329,Permanent employment,33200,2026-09-10,
330,C00330,Permanent employment,37800,2026-09-10,
331,C00331,Permanent employment,43100,2026-09-10,
332,C00332,Permanent employment,46600,2026-09-10,
333,C00333,Permanent employment,28700,2026-09-10,
334,C00334,Permanent employment,46100,2026-09-10,
335,C00335,Permanent employment,25900,2026-09-10,
336,C00336,Permanent employment,32300,2026-09-10,
337,C00337,Permanent employment,46900,2026-09-10,
338,C00338,Retired,24300,2026-09-10,
339,C00339,Permanent employment,52100,2026-09-10,
340,C00340,Permanent employment,41700,2026-09-10,
341,C00341,Permanent employment,50600,2026-09-10,
342,C00342,Permanent employment,40500,2026-09-10,
343,C00343,Unemployed,13100,2026-09-10,
344,C00344,Permanent employment,29700,2026-09-10,
345,C00345,Self-employed,43900,2026-09-10,
346,C00346,Permanent employment,35400,2026-09-10,
347,C00347,Retired,40300,2026-09-10,
348,C00348,Unemployed,15200,2026-09-10,
349,C00349,Permanent employment,42200,2026-09-10,
350,C00350,Permanent employment,48300,2026-09-10,
351,C00351,Permanent employment,35300,2026-09-10,
352,C00352,Retired,20400,2026-09-10,
353,C00353,Permanent employment,40600,2026-09-10,
354,C00354,Self-employed,56600,2026-09-10,
355,C00355,Permanent employment,23200,2026-09-10,
356,C00356,Retired,19000,2026-09-10,
357,C00357,Student,10600,2026-09-10,
358,C00358,Temporary/Probation/Freelance,35100,2026-09-10,
359,C00359,Retired,25400,2026-09-10,
360,C00360,Permanent employment,38700,2026-09-10,
361,C00361,Permanent employment,45700,2026-09-10,
362,C00362,Self-employed,32700,2026-09-10,
363,C00363,Permanent employment,38400,2026-09-10,
364,C00364,Permanent employment,47900,2026-09-10,
365,C00365,Retired,27700,2026-09-10,
366,C00366,Permanent employment,44900,2026-09-10,
367,C00367,Retired,27500,2026-09-10,
368,C00368,Retired,29300,2026-09-10,
369,C00369,Temporary/Probation/Freelance,15000,2026-09-10,
370,C00370,Permanent employment,32900,2026-09-10,
371,C00371,Permanent employment,48800,2026-09-10,
372,C00372,Permanent employment,28000,2026-09-10,
373,C00373,Permanent employment,48800,2026-09-10,
374,C00374,Permanent employment,45200,2026-09-10,
375,C00375,Student,10400,2026-09-10,
376,C00376,Permanent employment,46900,2026-09-10,
377,C00377,Retired,13300,2026-09-10,
378,C00378,Student,18400,2026-09-10,
379,C00379,Retired,20400,2026-09-10,
380,C00380,Self-employed,23400,2026-09-10,
381,C00381,Permanent employment,34300,2026-09-10,
382,C00382,Permanent employment,43200,2026-09-10,
383,C00383,Permanent employment,50900,2026-09-10,
384,C00384,Retired,23400,2026-09-10,
385,C00385,Temporary/Probation/Freelance,27400,2026-09-10,
386,C00386,Retired,21800,2026-09-10,
387,C00387,Permanent employment,35500,2026-09-10,
388,C00388,Temporary/Probation/Freelance,25800,2026-09-10,
389,C00389,Permanent employment,38900,2026-09-10,
390,C00390,Retired,25700,2026-09-10,
391,C00391,Retired,12000,2026-09-10,
392,C00392,Permanent employment,41900,2026-09-10,
393,C00393,Temporary/Probation/Freelance,40500,2026-09-10,
394,C00394,Permanent employment,45900,2026-09-10,
395,C00395,Temporary/Probation/Freelance,37500,2026-09-10,
396,C00396,Retired,21100,2026-09-10,
397,C00397,Retired,35600,2026-09-10,
398,C00398,Temporary/Probation/Freelance,36400,2026-09-10,
399,C00399,Permanent employment,43500,2026-09-10,
400,C00400,Permanent employment,47500,2026-09-10,
401,C00401,Permanent employment,29400,2026-09-10,
402,C00402,Retired,15100,2026-09-10,
403,C00403,Permanent employment,50600,2026-09-10,
404,C00404,Retired,31800,2026-09-10,
405,C00405,Permanent employment,38600,2026-09-10,
406,C00406,Retired,29900,2026-09-10,
407,C00407,Student,12700,2026-09-10,
408,C00408,Student,6000,2026-09-10,
409,C00409,Retired,16900,2026-09-10,
410,C00410,Temporary/Probation/Freelance,24200,2026-09-10,
411,C00411,Permanent employment,41600,2026-09-10,
412,C00412,Retired,21100,2026-09-10,
413,C00413,Retired,12800,2026-09-10,
414,C00414,Permanent employment,41600,2026-09-10,
415,C00415,Permanent employment,45200,2026-09-10,
416,C00416,Permanent employment,49600,2026-09-10,
417,C00417,Permanent employment,40900,2026-09-10,
418,C00418,Unemployed,20000,2026-09-10,
419,C00419,Temporary/Probation/Freelance,30200,2026-09-10,
420,C00420,Permanent employment,60700,2026-09-10,
421,C00421,Permanent employment,37800,2026-09-10,
422,C00422,Permanent employment,45500,2026-09-10,
423,C00423,Permanent employment,37400,2026-09-10,
424,C00424,Permanent employment,40300,2026-09-10,
425,C00425,Unemployed,17400,2026-09-10,
426,C00426,Permanent employment,50300,2026-09-10,
427,C00427,Permanent employment,43200,2026-09-10,
428,C00428,Self-employed,50700,2026-09-10,
429,C00429,Parental leave,31600,2026-09-10,
430,C00430,Permanent employment,36200,2026-09-10,
431,C00431,Self-employed,31400,2026-09-10,
432,C00432,Temporary/Probation/Freelance,30000,2026-09-10,
433,C00433,Permanent employment,43700,2026-09-10,
434,C00434,Permanent employment,30600,2026-09-10,
435,C00435,Permanent employment,42600,2026-09-10,
436,C00436,Permanent employment,43300,2026-09-10,
437,C00437,Temporary/Probation/Freelance,28900,2026-09-10,
438,C00438,Retired,13500,2026-09-10,
439,C00439,Unemployed,15300,2026-09-10,
440,C00440,Permanent employment,27600,2026-09-10,
441,C00441,Permanent employment,39000,2026-09-10,
442,C00442,Retired,29900,2026-09-10,
443,C00443,Unemployed,20600,2026-09-10,
444,C00444,Unemployed,14300,2026-09-10,
445,C00445,Retired,36200,2026-09-10,
446,C00446,Temporary/Probation/Freelance,35900,2026-09-10,
447,C00447,Retired,27200,2026-09-10,
448,C00448,Permanent employment,50800,2026-09-10,
449,C00449,Permanent employment,54400,2026-09-10,
450,C00450,Permanent employment,43800,2026-09-10,
451,C00451,Self-employed,42500,2026-09-10,
452,C00452,Permanent employment,41200,2026-09-10,
453,C00453,Self-employed,21800,2026-09-10,
454,C00454,Permanent employment,44200,2026-09-10,
455,C00455,Permanent employment,46300,2026-09-10,
456,C00456,Permanent employment,38300,2026-09-10,
457,C00457,Temporary/Probation/Freelance,21400,2026-09-10,
458,C00458,Unemployed,21200,2026-09-10,
459,C00459,Unemployed,13000,2026-09-10,
460,C00460,Permanent employment,26000,2026-09-10,
461,C00461,Unemployed,8200,2026-09-10,
462,C00462,Self-employed,53000,2026-09-10,
463,C00463,Permanent employment,39700,2026-09-10,
464,C00464,Self-employed,53600,2026-09-10,
465,C00465,Retired,22300,2026-09-10,
466,C00466,Permanent employment,46500,2026-09-10,
467,C00467,Permanent employment,57400,2026-09-10,
468,C00468,Retired,22600,2026-09-10,
469,C00469,Permanent employment,46200,2026-09-10,
470,C00470,Permanent employment,43800,2026-09-10,
471,C00471,Student,4200,2026-09-10,
472,C00472,Retired,37700,2026-09-10,
473,C00473,Self-employed,83200,2026-09-10,
474,C00474,Retired,22800,2026-09-10,
475,C00475,Self-employed,47700,2026-09-10,
476,C00476,Retired,32600,2026-09-10,
477,C00477,Student,9100,2026-09-10,
478,C00478,Unemployed,17900,2026-09-10,
479,C00479,Retired,18200,2026-09-10,
480,C00480,Permanent employment,57800,2026-09-10,
481,C00481,Permanent employment,45500,2026-09-10,
482,C00482,Permanent employment,48300,2026-09-10,
483,C00483,Self-employed,69400,2026-09-10,
484,C00484,Retired,29600,2026-09-10,
485,C00485,Permanent employment,44600,2026-09-10,
486,C00486,Permanent employment,55000,2026-09-10,
487,C00487,Student,14200,2026-09-10,
488,C00488,Permanent employment,43800,2026-09-10,
489,C00489,Self-employed,18000,2026-09-10,
490,C00490,Retired,23800,2026-09-10,
491,C00491,Permanent employment,41300,2026-09-10,
492,C00492,Permanent employment,45200,2026-09-10,
493,C00493,Permanent employment,40500,2026-09-10,
494,C00494,Temporary/Probation/Freelance,33100,2026-09-10,
495,C00495,Permanent employment,41900,2026-09-10,
496,C00496,Permanent employment,55000,2026-09-10,
497,C00497,Permanent employment,49300,2026-09-10,
498,C00498,Parental leave,27200,2026-09-10,
499,C00499,Permanent employment,43100,2026-09-10,
500,C00500,Temporary/Probation/Freelance,34100,2026-09-10,
501,C00501,Permanent employment,32500,2026-09-10,
502,C00502,Self-employed,53400,2026-09-10,
503,C00503,Self-employed,18000,2026-09-10,
504,C00504,Retired,34600,2026-09-10,
505,C00505,Temporary/Probation/Freelance,27000,2026-09-10,
506,C00506,Permanent employment,45300,2026-09-10,
507,C00507,Retired,15900,2026-09-10,
508,C00508,Retired,27900,2026-09-10,
509,C00509,Retired,15700,2026-09-10,
510,C00510,Permanent employment,40900,2026-09-10,
511,C00511,Permanent employment,51800,2026-09-10,
512,C00512,Permanent employment,49300,2026-09-10,
513,C00513,Retired,27900,2026-09-10,
514,C00514,Retired,21400,2026-09-10,
515,C00515,Student,4800,2026-09-10,
516,C00516,Student,13900,2026-09-10,
517,C00517,Permanent employment,38600,2026-09-10,
518,C00518,Retired,19500,2026-09-10,
519,C00519,Retired,33900,2026-09-10,
520,C00520,Parental leave,33500,2026-09-10,
521,C00521,Permanent employment,35500,2026-09-10,
522,C00522,Permanent employment,44900,2026-09-10,
523,C00523,Permanent employment,41900,2026-09-10,
524,C00524,Retired,21300,2026-09-10,
525,C00525,Retired,21500,2026-09-10,
526,C00526,Permanent employment,54200,2026-09-10,
527,C00527,Student,20000,2026-09-10,
528,C00528,Permanent employment,44700,2026-09-10,
529,C00529,Student,10800,2026-09-10,
530,C00530,Unemployed,8500,2026-09-10,
531,C00531,Unemployed,20800,2026-09-10,
532,C00532,Unemployed,11400,2026-09-10,
533,C00533,Retired,20900,2026-09-10,
534,C00534,Permanent employment,50500,2026-09-10,
535,C00535,Self-employed,50100,2026-09-10,
536,C00536,Retired,27700,2026-09-10,
537,C00537,Retired,28700,2026-09-10,
538,C00538,Permanent employment,37900,2026-09-10,
539,C00539,Unemployed,17500,2026-09-10,
540,C00540,Permanent employment,26000,2026-09-10,
541,C00541,Retired,35300,2026-09-10,
542,C00542,Parental leave,28900,2026-09-10,
543,C00543,Unemployed,17500,2026-09-10,
544,C00544,Permanent employment,46400,2026-09-10,
545,C00545,Self-employed,18000,2026-09-10,
546,C00546,Permanent employment,46500,2026-09-10,
547,C00547,Permanent employment,23200,2026-09-10,
548,C00548,Student,12500,2026-09-10,
549,C00549,Permanent employment,46500,2026-09-10,
550,C00550,Self-employed,22000,2026-09-10,
551,C00551,Permanent employment,46300,2026-09-10,
552,C00552,Retired,20600,2026-09-10,
553,C00553,Permanent employment,43900,2026-09-10,
554,C00554,Permanent employment,26900,2026-09-10,
555,C00555,Retired,15200,2026-09-10,
556,C00556,Permanent employment,39500,2026-09-10,
557,C00557,Parental leave,23200,2026-09-10,
558,C00558,Unemployed,11900,2026-09-10,
559,C00559,Retired,19200,2026-09-10,
560,C00560,Self-employed,50400,2026-09-10,
561,C00561,Permanent employment,23900,2026-09-10,
562,C00562,Unemployed,22000,2026-09-10,
563,C00563,Self-employed,33900,2026-09-10,
564,C00564,Self-employed,39500,2026-09-10,
565,C00565,Permanent employment,49200,2026-09-10,
566,C00566,Permanent employment,57200,2026-09-10,
567,C00567,Permanent employment,40900,2026-09-10,
568,C00568,Self-employed,57400,2026-09-10,
569,C00569,Retired,19200,2026-09-10,
570,C00570,Permanent employment,51600,2026-09-10,
571,C00571,Permanent employment,49900,2026-09-10,
572,C00572,Unemployed,9700,2026-09-10,
573,C00573,Self-employed,55400,2026-09-10,
574,C00574,Self-employed,19300,2026-09-10,
575,C00575,Retired,18700,2026-09-10,
576,C00576,Retired,14500,2026-09-10,
577,C00577,Parental leave,30000,2026-09-10,
578,C00578,Retired,30900,2026-09-10,
579,C00579,Self-employed,22600,2026-09-10,
580,C00580,Permanent employment,40800,2026-09-10,
581,C00581,Unemployed,13000,2026-09-10,
582,C00582,Retired,16700,2026-09-10,
583,C00583,Permanent employment,42000,2026-09-10,
584,C00584,Permanent employment,49100,2026-09-10,
585,C00585,Permanent employment,49600,2026-09-10,
586,C00586,Permanent employment,40200,2026-09-10,
587,C00587,Student,9800,2026-09-10,
588,C00588,Student,10100,2026-09-10,
589,C00589,Permanent employment,32900,2026-09-10,
590,C00590,Permanent employment,38700,2026-09-10,
591,C00591,Temporary/Probation/Freelance,18200,2026-09-10,
592,C00592,Permanent employment,42200,2026-09-10,
593,C00593,Student,18500,2026-09-10,
594,C00594,Permanent employment,41900,2026-09-10,
595,C00595,Retired,31700,2026-09-10,
596,C00596,Permanent employment,49700,2026-09-10,
