customer_id,date_of_birth,region_id
C00525,1960-11-19,4
C00526,1979-02-19,19
C00527,1982-02-09,15
C00528,1986-08-20,10
C00529,2006-02-02,12
C00530,1951-06-11,16
C00531,1957-05-28,5
C00532,1946-10-26,20
C00533,1959-07-20,19
C00534,1977-01-22,11
C00535,1967-07-10,19
C00536,1957-02-08,21
C00537,1949-12-21,17
C00538,1994-11-13,12
C00539,1976-10-08,21
C00540,1995-01-02,12
C00541,1952-10-29,14
C00542,1977-01-19,12
C00543,2000-01-19,12
C00544,1966-09-27,11
C00545,1973-10-07,11
C00546,1987-11-27,12
C00547,1999-10-05,14
C00548,1961-11-06,16
C00549,1978-10-11,12
C00550,1962-12-23,21
C00551,1973-02-17,12
C00552,1954-04-23,12
C00553,1974-08-26,19
C00554,1974-02-21,7
C00555,1954-06-01,11
C00556,1984-07-09,12
C00557,2001-06-23,19
C00558,2003-08-30,19
C00559,1962-12-30,12
C00560,1974-01-23,12
C00561,1969-04-06,12
C00562,2000-12-15,19
C00563,2000-06-05,12
C00564,2003-09-13,11
C00565,1990-05-01,12
C00566,1975-03-25,12
C00567,1986-07-21,12
C00568,1989-11-19,21
C00569,1953-12-29,12
C00570,1982-10-23,9
C00571,1975-03-06,5
C00572,1968-08-25,7
C00573,1991-04-19,19
C00574,1977-12-22,19
C00575,1958-02-18,19
C00576,1953-10-02,17
C00577,1998-08-06,14
C00578,1958-07-13,12
C00579,1980-09-10,5
C00580,1992-02-14,5
C00581,1975-04-19,11
C00582,1947-01-27,12
C00583,1978-06-12,11
C00584,1985-10-26,17
C00585,1969-02-23,21
C00586,1995-08-15,16
C00587,2004-04-12,7
C00588,1998-08-26,12
C00589,1991-11-26,9
C00590,1997-07-30,11
C00591,1992-10-24,19
C00592,1966-07-03,11
C00593,1997-09-20,11
C00594,1984-11-20,12
C00595,1960-08-27,14
C00596,1977-12-09,21
C00597,1967-03-18,10
C00598,1997-12-25,13
C00599,1998-02-19,4
C00600,2004-07-12,21
C00601,1992-12-13,12
C00602,1990-07-25,14
C00603,1996-04-17,14
C00604,1994-06-03,10
C00605,1994-08-15,19
C00606,1975-07-29,17
C00607,1991-10-15,18
C00608,1988-09-06,11
C00609,1974-11-05,19
C00610,1961-12-07,19
C00611,2004-04-09,19
C00612,1956-06-29,14
C00613,1969-12-04,8
C00614,1994-07-13,5
C00615,1954-03-29,12
C00616,1947-09-15,11
C00617,2003-11-09,18
C00618,1985-07-09,11
C00619,1950-12-26,11
C00620,1963-02-09,12
C00621,1994-06-17,15
C00622,1992-09-28,7
C00623,1983-02-10,16
C00624,1975-11-02,10
C00625,1980-05-30,17
C00626,1984-12-23,12
C00627,1979-03-20,21
C00628,1965-07-06,6
C00629,2006-08-19,15
C00630,1991-09-28,4
C00631,1962-01-20,11
C00632,1960-05-18,11
C00633,1976-06-11,12
C00634,1976-01-02,18
C00635,1993-09-09,19
C00636,1983-06-03,12
C00637,1977-04-23,12
C00638,1996-09-17,11
C00639,1983-08-10,19
C00640,1984-01-24,12
C00641,2004-07-01,14
C00642,1985-09-05,12
C00643,1994-05-29,12
C00644,1984-07-21,17
C00645,2001-02-15,19
C00646,1955-03-15,19
C00647,1979-08-23,15
C00648,1970-06-07,7
C00649,1969-12-02,19
C00650,1974-03-02,10
C00651,1992-11-01,19
C00652,1979-03-16,8
C00653,1978-10-25,19
C00654,1966-04-07,4
C00655,1982-05-13,12
C00656,2000-09-24,14
C00657,1986-07-31,17
C00658,1989-08-18,6
C00659,1968-05-12,11
C00660,1973-05-26,7
C00661,1988-10-08,13
C00662,1960-11-13,11
C00663,1979-04-21,17
C00664,1995-07-05,12
C00665,1995-01-09,8
C00666,1997-02-13,4
C00667,2000-12-23,7
C00668,1994-08-26,19
C00669,1992-02-25,9
C00670,1984-05-24,15
C00671,1992-05-19,10
C00672,1950-03-27,9
C00673,1992-07-05,18
C00674,1972-03-05,10
C00675,1990-07-12,10
C00676,1952-06-08,1
C00677,1999-06-02,11
C00678,1987-12-04,21
C00679,1960-09-23,21
C00680,1957-09-13,11
C00681,1957-05-20,12
C00682,1999-02-05,19
C00683,1992-07-16,11
C00684,1970-08-02,4
C00685,1949-03-21,20
C00686,1976-03-29,21
C00687,1974-06-01,11
C00688,1985-07-27,19
C00689,1970-12-04,12
C00690,1998-02-06,12
C00691,1989-05-19,18
C00692,1985-11-27,12
C00693,1972-09-21,4
C00694,1993-01-11,4
C00695,1994-12-20,11
C00696,1973-07-08,20
C00697,1984-06-02,7
C00698,1977-07-20,18
C00699,1993-03-18,20
C00700,1975-02-20,12
C00701,1977-03-09,5
C00702,2006-04-07,19
C00703,1982-04-14,12
C00704,2001-03-07,10
C00705,2001-12-18,8
C00706,1953-02-10,11
C00707,1984-11-10,12
C00708,1961-02-11,5
C00709,2001-01-03,20
C00710,1967-05-30,5
C00711,1964-09-01,15
C00712,1973-07-18,19
C00713,1976-08-15,14
C00714,1982-04-08,1
C00715,1984-07-20,12
C00716,1946-09-16,12
C00717,1956-08-30,12
C00718,1950-11-12,6
C00719,1995-11-20,10
C00720,1968-02-12,12
C00721,1951-07-09,21
C00722,1996-11-13,12
C00723,2005-03-01,20
C00724,1969-08-14,11
C00725,1978-12-19,19
C00726,1948-01-19,11
C00727,1997-03-01,19
C00728,1947-10-20,21
C00729,1997-03-27,12
C00730,1996-01-03,12
C00731,1997-04-09,11
C00732,1949-12-30,4
C00733,1966-08-25,21
C00734,1973-12-26,12
C00735,1989-12-09,17
C00736,1957-11-29,12
C00737,1986-07-18,12
C00738,1950-02-22,2
C00739,1987-07-06,19
C00740,1990-09-16,8
C00741,1973-05-16,19
C00742,1989-06-05,19
C00743,1970-08-19,12
C00744,1973-01-03,19
C00745,1995-03-30,19
C00746,1957-09-09,16
C00747,1985-12-16,16
C00748,1978-01-31,7
C00749,1961-09-05,5
C00750,1968-07-10,12
C00751,1993-05-10,12
C00752,1961-07-16,1
C00753,1961-09-22,19
C00754,1988-11-25,11
C00755,1997-07-10,1
C00756,1964-10-12,20
C00757,1973-01-04,15
C00758,1975-12-19,19
C00759,1959-03-20,12
C00760,1965-04-01,15
C00761,1998-06-01,17
C00762,1988-12-23,12
C00763,1995-02-18,8
C00764,1965-04-12,10
C00765,2003-01-13,5
C00766,1975-06-16,11
C00767,1969-10-18,12
C00768,1961-06-09,11
C00769,1989-12-18,1
C00770,1958-07-20,12
C00771,1994-08-07,11
C00772,1959-08-10,12
C00773,1991-12-11,19
C00774,1986-01-16,16
C00775,1956-07-11,11
C00776,1993-06-17,19
C00777,1993-04-21,1
C00778,1968-05-31,12
C00779,1962-12-15,16
C00780,1966-07-01,12
C00781,1970-08-16,12
C00782,1972-02-17,11
C00783,1995-10-31,19
C00784,1989-10-14,7
C00785,1993-10-30,12
C00786,1958-09-02,20
C00787,1977-04-06,7
C00788,1984-09-02,12
C00789,1973-12-02,7
C00790,1950-07-20,12
C00791,1996-08-27,11
C00792,1977-11-17,19
C00793,1980-11-13,15
C00794,1974-09-21,12
C00795,2006-06-16,12
C00796,1960-04-25,12
C00797,1960-11-08,12
C00798,1978-03-14,12
C00799,1967-04-26,21
C00800,1952-01-19,12
C00801,1970-09-29,5
C00802,1997-09-03,9
C00803,1975-10-15,12
C00804,1979-05-14,9
C00805,1985-02-07,12
C00806,1966-05-27,19
C00807,1958-04-03,7
C00808,1959-06-09,12
C00809,1976-11-11,7
C00810,1999-05-19,12
C00811,1951-09-15,15
C00812,1953-08-28,10
C00813,1993-04-26,12
C00814,1956-02-22,19
C00815,1949-07-13,14
C00816,1975-11-07,12
C00817,1978-03-15,12
C00818,1988-05-02,2
C00819,2005-04-30,7
C00820,1981-10-03,10
C00821,1958-03-05,1
C00822,2002-03-26,12
C00823,1981-09-28,19
C00824,1989-11-23,17
C00825,1973-09-03,20
C00826,1948-06-01,19
C00827,1990-09-28,21
C00828,1990-03-11,12
C00829,1969-12-01,12
C00830,1976-03-12,11
C00831,1995-05-16,16
C00832,1978-10-23,19
C00833,1993-07-31,20
C00834,1997-02-10,13
C00835,1977-07-29,19
C00836,1987-12-19,2
C00837,1953-08-05,11
C00838,1983-12-14,1
C00839,1978-03-13,19
C00840,1968-05-29,11
C00841,2005-01-02,10
C00842,1962-11-06,3
C00843,1998-12-22,12
C00844,1957-12-31,11
C00845,1995-04-16,14
C00846,1981-11-05,11
C00847,1994-03-21,12
C00848,1954-01-03,6
C00849,1978-08-18,18
C00850,1975-01-17,12
C00851,2005-05-30,12
C00852,1971-04-07,11
C00853,1996-07-02,19
C00854,1956-06-17,12
C00855,1996-04-05,12
C00856,2000-01-01,11
C00857,2002-09-05,19
C00858,1977-02-21,14
C00859,1980-03-02,19
C00860,2003-04-12,16
C00861,1962-10-23,12
C00862,1973-06-07,11
C00863,1976-07-06,12
C00864,1983-07-10,12
C00865,1988-02-20,12
C00866,1981-06-22,8
C00867,2000-04-01,20
C00868,2001-05-08,11
C00869,1954-09-10,12
C00870,1952-10-27,12
C00871,1982-03-16,11
C00872,1985-10-24,12
C00873,1969-10-11,21
C00874,1986-05-06,11
C00875,2006-07-26,4
C00876,1999-02-15,12
C00877,1962-12-23,19
C00878,1970-04-01,12
C00879,2004-05-26,19
C00880,1997-01-13,11
C00881,2000-07-18,20
C00882,1965-08-04,11
C00883,2004-02-20,7
C00884,1992-05-04,14
C00885,1946-09-29,12
C00886,1993-04-12,11
C00887,1964-12-14,4
C00888,1996-10-25,11
C00889,1997-11-03,19
C00890,1998-08-11,13
C00891,1961-12-06,11
C00892,1954-01-18,21
C00893,1951-12-05,12
C00894,1982-05-09,8
C00895,1962-07-31,19
C00896,1992-02-29,9
C00897,1982-05-06,19
C00898,1960-12-22,19
C00899,2002-07-15,21
C00900,2000-01-12,15
C00901,1993-08-13,21
C00902,2005-04-18,14
C00903,1993-11-02,12
C00904,1976-05-26,12
C00905,1983-08-18,19
C00906,1956-01-24,2
C00907,1955-05-04,12
C00908,1985-06-07,12
C00909,1992-10-02,21
C00910,1984-05-26,19
C00911,1981-01-10,7
C00912,1988-02-28,11
C00913,1965-03-21,19
C00914,1983-10-12,8
C00915,1975-02-07,10
C00916,1989-02-12,13
C00917,1988-01-27,10
C00918,1949-10-06,12
C00919,1964-12-02,12
C00920,1993-09-21,19
C00921,1955-08-31,19
C00922,1976-04-26,20
C00923,1953-07-22,21
C00924,1953-01-26,17
C00925,1985-01-03,12
C00926,2006-02-06,12
C00927,1990-12-31,13
C00928,1975-12-22,15
C00929,1970-06-24,19
C00930,1994-03-09,1
C00931,2001-07-24,14
C00932,1949-08-12,12
C00933,1959-12-20,21
C00934,1973-11-14,11
C00935,1995-12-21,19
C00936,1982-01-02,19
C00937,2004-12-29,6
C00938,1960-04-10,12
C00939,1995-02-03,21
C00940,1976-10-20,11
C00941,1987-08-09,19
C00942,1974-06-20,11
C00943,1965-01-21,4
C00944,1950-07-15,5
C00945,1992-11-08,12
C00946,2002-09-17,12
C00947,1992-05-31,19
C00948,1957-11-30,19
C00949,1959-10-30,12
C00950,1978-10-26,12
C00951,1980-11-14,11
C00952,1971-06-04,19
C00953,1995-04-18,12
C00954,1948-01-19,11
C00955,1986-12-04,21
C00956,1989-01-13,17
C00957,1975-09-03,12
C00958,2005-05-24,19
C00959,1999-03-20,11
C00960,1971-04-05,12
C00961,1994-01-11,11
C00962,1979-09-28,12
C00963,1995-05-12,19
C00964,1983-06-29,11
C00965,1986-04-09,12
C00966,1990-08-10,12
C00967,1970-08-07,19
C00968,1983-03-26,13
C00969,1972-06-05,11
C00970,1974-07-28,21
C00971,1963-08-19,17
C00972,1958-05-23,11
C00973,1968-06-29,19
C00974,2000-02-08,12
C00975,2005-05-28,12
C00976,1991-04-21,14
C00977,1972-06-21,21
C00978,2002-01-31,19
C00979,1977-09-12,11
C00980,1972-09-07,7
C00981,1981-12-09,19
C00982,1963-11-24,12
C00983,1999-10-09,12
C00984,2002-06-02,18
C00985,1964-02-12,11
C00986,1981-05-12,19
C00987,1971-08-02,21
C00988,1987-11-02,7
C00989,1995-02-17,12
C00990,1953-02-21,18
C00991,1956-09-11,5
C00992,1969-12-03,12
C00993,1985-06-24,15
C00994,1980-05-05,11
C00995,1983-07-08,19
C00996,1993-05-07,12
C00997,1959-04-01,12
C00998,1994-03-10,12
C00999,1950-09-26,12
C01000,1987-11-10,19
C01001,1999-06-25,19
C01002,1981-05-22,19
C01003,1957-01-12,2
C01004,1967-10-16,14
C01005,1961-05-15,4
C01006,1961-12-10,4
C01007,1963-11-03,1
C01008,1954-06-08,12
C01009,1993-10-08,19
C01010,1979-05-20,21
C01011,1996-03-29,15
C01012,1950-08-25,12
C01013,1950-09-08,11
C01014,2005-12-11,11
C01015,1966-12-26,12
C01016,1953-09-09,7
C01017,1996-01-10,12
C01018,1972-08-05,11
C01019,1951-12-13,18
C01020,2004-10-21,14
C01021,1968-02-28,19
C01022,1991-03-20,12
C01023,1960-12-03,19
C01024,1948-03-05,17
C01025,1951-12-25,21
C01026,1977-04-19,4
C01027,1949-01-29,11
C01028,1947-10-17,21
C01029,1989-07-27,4
C01030,1957-02-01,12
C01031,2002-02-06,12
C01032,1981-01-05,5
C01033,1994-06-02,15
C01034,1996-09-22,19
C01035,2002-08-27,12
C01036,1962-12-16,16
C01037,1984-05-23,19
C01038,1970-10-02,6
C01039,2003-11-19,21
C01040,1984-11-04,19
C01041,1981-06-29,18
C01042,1971-08-07,7
C01043,1987-02-25,16
C01044,1963-03-14,14
C01045,1956-03-21,21
C01046,1972-02-27,17
C01047,1999-12-06,16
C01048,2004-04-30,13
C01049,1952-12-02,12
C01050,2002-08-27,19
C01051,1957-02-15,17
C01052,1978-12-16,5
C01053,1948-05-30,19
C01054,1955-09-26,19
C01055,1946-12-07,12
C01056,1987-10-12,16
C01057,1962-07-15,7
C01058,1989-12-21,19
C01059,1979-03-31,11
C01060,1963-08-12,11
C01061,1951-06-08,19
C01062,1951-02-20,10
C01063,1963-01-22,19
C01064,1985-09-19,15
C01065,1982-02-17,12
C01066,1962-01-13,20
C01067,1992-11-16,13
C01068,1997-12-21,12
C01069,1986-11-02,12
C01070,1982-05-20,19
C01071,1986-07-02,10
C01072,1993-02-03,19
C01073,2002-06-26,14
C01074,2002-08-22,12
