loan_id,customer_id,loan_type,original_amount,current_balance,interest_rate,monthly_payment,late_payments,default_flag
L000049,C00035,Mortgage,744000,668100,3.48,3790,0,0
L000050,C00035,Car Loan,187000,115500,7.04,2630,2,0
L000051,C00036,Mortgage,688000,311900,3.2,2460,0,0
L000052,C00036,Credit Card,15000,2900,19.03,750,0,0
L000053,C00037,Credit Card,42000,27700,16.87,2100,0,0
L000054,C00037,Car Loan,165000,97100,5.95,2280,0,0
L000055,C00037,Mortgage,1364000,1198800,3.73,6040,0,0
L000056,C00038,Credit Card,5000,3800,17.43,250,2,0
L000057,C00039,Personal Loan,49000,35300,8.58,800,1,0
L000058,C00040,Credit Card,46000,12300,15.66,2300,1,0
L000059,C00041,Mortgage,1482000,901200,2.85,5950,2,0
L000060,C00041,Personal Loan,163000,61400,6.26,5290,2,0
L000061,C00041,Credit Card,41000,3600,18.85,2050,0,0
L000062,C00042,Mortgage,2150000,1744100,2.76,10560,0,0
L000063,C00043,Credit Card,5000,2000,18.88,250,0,0
L000064,C00044,Credit Card,12000,2200,15.93,600,0,0
L000065,C00045,Car Loan,279000,184700,6.78,7400,0,0
L000066,C00045,Personal Loan,191000,78600,7.93,3190,1,0
L000067,C00046,Mortgage,1831000,1082800,2.99,6630,0,0
L000068,C00047,Mortgage,2243000,1607100,2.95,11110,2,0
L000069,C00047,Credit Card,53000,24700,16.91,2650,3,0
L000070,C00047,Car Loan,483000,369300,8.36,11360,0,0
L000071,C00048,Personal Loan,121000,36900,8.22,1500,0,0
L000072,C00049,Credit Card,48000,30000,22.0,2400,2,0
L000073,C00050,Personal Loan,201000,150400,7.73,4280,0,0
L000074,C00050,Mortgage,1462000,1312900,3.62,7350,2,0
L000075,C00050,Credit Card,34000,8400,17.5,1700,0,0
L000076,C00050,Car Loan,306000,206800,5.93,6810,0,0
L000077,C00051,Personal Loan,127000,70800,12.29,3760,0,0
L000078,C00052,Mortgage,982000,587500,2.76,3670,0,0
L000079,C00053,Personal Loan,68000,14700,7.1,2500,0,0
L000080,C00054,Credit Card,8000,6700,15.15,400,0,0
L000081,C00055,Credit Card,24000,6300,19.91,1200,0,0
L000082,C00055,Mortgage,1402000,856300,2.65,6490,0,0
L000083,C00056,Mortgage,639000,417600,3.07,2410,2,0
L000084,C00057,Credit Card,55000,20300,20.57,2750,0,0
L000085,C00057,Mortgage,1383000,944100,3.07,5800,0,0
L000086,C00058,Mortgage,1393000,1311000,2.97,6180,0,0
L000087,C00058,Credit Card,31000,13400,19.0,1550,0,0
L000088,C00059,Credit Card,17000,11200,16.77,850,0,0
L000089,C00060,Mortgage,1695000,955900,3.03,7130,0,0
L000090,C00060,Credit Card,64000,36700,17.87,3200,0,0
L000091,C00061,Mortgage,1449000,1067400,3.05,7060,0,0
L000092,C00062,Personal Loan,75000,57500,6.74,920,4,0
L000093,C00063,Mortgage,1234000,997500,2.82,4770,0,0
L000094,C00063,Credit Card,7000,5000,16.13,350,0,0
L000095,C00064,Credit Card,55000,15200,16.51,2750,1,0
L000096,C00065,Car Loan,230000,154100,6.38,9500,0,0
L000097,C00065,Mortgage,2033000,1615600,2.53,8640,1,0
L000098,C00066,Mortgage,1884000,1192600,2.27,6580,0,0
L000099,C00067,Mortgage,1055000,936200,2.81,4460,0,0
L000100,C00068,Mortgage,803000,560200,3.24,3510,0,0
L000101,C00069,Car Loan,83000,22700,6.0,1810,0,0
L000102,C00070,Mortgage,681000,624400,3.38,3640,0,0
L000103,C00071,Credit Card,46000,30100,15.32,2300,2,0
L000104,C00072,Personal Loan,33000,26200,9.64,570,1,0
L000105,C00073,Credit Card,41000,10800,17.9,2050,0,0
L000106,C00074,Credit Card,5000,3700,17.65,250,2,0
L000107,C00075,Credit Card,42000,17900,18.68,2100,0,0
L000108,C00075,Personal Loan,232000,116600,11.17,5070,0,0
L000109,C00076,Credit Card,16000,11200,15.35,800,0,0
L000110,C00077,Personal Loan,140000,93200,7.69,1490,0,0
L000111,C00077,Credit Card,27000,5100,17.54,1350,3,0
L000112,C00077,Mortgage,2114000,1557100,2.74,9820,0,0
L000113,C00078,Credit Card,29000,9800,21.26,1450,0,0
L000114,C00079,Mortgage,1794000,1132400,2.8,6800,0,0
L000115,C00079,Personal Loan,156000,86200,11.42,4030,0,0
L000116,C00079,Credit Card,31000,4900,15.89,1550,0,0
L000117,C00080,Personal Loan,242000,124100,5.29,4430,0,0
L000118,C00081,Car Loan,239000,89100,6.15,3420,0,0
L000119,C00082,Personal Loan,156000,119400,7.95,2110,0,0
L000120,C00082,Mortgage,1627000,792500,3.4,6640,0,0
L000121,C00082,Car Loan,440000,372400,8.16,8140,3,0
L000122,C00083,Mortgage,2089000,1087900,2.8,7410,0,0
L000123,C00083,Personal Loan,121000,46200,8.74,1460,1,0
L000124,C00083,Credit Card,45000,9600,16.96,2250,3,0
L000125,C00083,Car Loan,109000,59200,6.09,1760,0,0
L000126,C00084,Personal Loan,20000,12400,6.0,230,0,0
L000127,C00085,Personal Loan,42000,37500,12.63,780,0,0
L000128,C00086,Mortgage,2277000,1038700,2.97,9670,0,0
L000129,C00087,Personal Loan,377000,298100,10.07,5320,0,0
L000130,C00088,Mortgage,2167000,1474400,2.52,8140,0,0
L000131,C00089,Mortgage,1023000,656300,2.99,4140,0,0
L000132,C00090,Personal Loan,407000,135400,8.12,15560,0,0
L000133,C00090,Credit Card,70000,30500,19.61,3500,0,0
L000134,C00091,Mortgage,1305000,877300,2.98,6550,0,0
L000135,C00091,Personal Loan,248000,88700,9.52,4230,0,0
L000136,C00092,Personal Loan,157000,97900,4.8,3970,0,1
L000137,C00092,Credit Card,21000,6300,14.85,1050,0,0
L000138,C00093,Credit Card,23000,1300,18.63,1150,2,0
L000139,C00093,Car Loan,125000,50200,9.87,2860,0,0
L000140,C00093,Personal Loan,130000,39200,11.39,1290,4,1
L000141,C00094,Mortgage,1974000,1473500,2.96,7660,0,0
L000142,C00094,Personal Loan,182000,84500,12.44,4920,1,0
L000143,C00095,Car Loan,230000,83400,8.21,4480,0,0
L000144,C00096,Car Loan,207000,175700,5.61,3410,1,0
L000145,C00097,Mortgage,2096000,1176800,2.53,7560,0,0
L000146,C00097,Personal Loan,56000,17300,10.79,2010,0,0
L000147,C00097,Credit Card,42000,23500,15.77,2100,0,0
L000148,C00098,Car Loan,547000,360000,5.38,19810,0,0
L000149,C00099,Credit Card,7000,2400,23.49,350,0,0
L000150,C00100,Mortgage,1892000,1795000,2.4,8660,0,0
L000151,C00101,Credit Card,5000,2200,18.68,250,0,0
L000152,C00102,Mortgage,2564000,1472400,3.16,11580,0,0
L000153,C00103,Mortgage,1749000,1544000,3.16,8250,1,0
L000154,C00104,Personal Loan,498000,225800,7.25,6100,0,0
L000155,C00105,Mortgage,779000,641300,3.49,3430,0,0
L000156,C00105,Credit Card,22000,15900,18.93,1100,2,0
L000157,C00106,Credit Card,28000,5300,15.76,1400,0,0
L000158,C00106,Personal Loan,26000,11400,12.64,330,0,0
L000159,C00107,Car Loan,267000,82600,4.5,4510,0,0
L000160,C00107,Personal Loan,76000,25100,10.33,1050,1,0
L000161,C00107,Mortgage,2221000,1705400,3.19,10920,0,0
L000162,C00108,Personal Loan,275000,87500,7.68,5450,2,0
L000163,C00108,Mortgage,2612000,1713900,3.42,10900,0,0
L000164,C00109,Credit Card,35000,24200,14.62,1750,0,0
L000165,C00110,Personal Loan,67000,20100,5.56,1600,0,0
L000166,C00110,Mortgage,1185000,680800,3.51,5700,4,0
L000167,C00111,Mortgage,846000,443000,2.48,3090,0,0
L000168,C00111,Car Loan,193000,109800,9.46,4690,0,0
L000169,C00112,Mortgage,1038000,834900,3.3,5180,0,0
L000170,C00112,Credit Card,55000,44900,12.95,2750,0,0
L000171,C00113,Car Loan,50000,42400,5.17,960,0,0
L000172,C00113,Credit Card,11000,1200,16.72,550,0,0
L000173,C00114,Mortgage,762000,368100,2.6,3270,0,0
L000174,C00114,Personal Loan,51000,41800,7.97,1310,0,0
L000175,C00115,Mortgage,2560000,1437000,2.2,9380,0,0
L000176,C00116,Personal Loan,69000,29800,8.82,2410,0,0
L000177,C00117,Mortgage,765000,486900,3.28,3030,0,0
L000178,C00118,Mortgage,1783000,814700,3.59,7620,0,0
L000179,C00118,Credit Card,14000,6100,18.74,700,0,0
L000180,C00119,Mortgage,1260000,1026500,2.83,5550,0,0
L000181,C00120,Mortgage,1293000,796700,2.68,5960,1,0
L000182,C00121,Mortgage,1225000,1143500,2.86,5230,0,0
L000183,C00122,Credit Card,11000,8700,19.35,550,0,0
L000184,C00123,Mortgage,1938000,1259700,2.64,8220,0,0
L000185,C00123,Personal Loan,187000,148300,10.78,3640,0,0
L000186,C00124,Mortgage,792000,378700,2.77,2850,0,0
L000187,C00125,Mortgage,981000,831800,2.81,4290,0,0
L000188,C00126,Credit Card,17000,9900,17.89,850,4,1
L000189,C00127,Mortgage,813000,611300,3.08,3270,3,0
L000190,C00127,Car Loan,91000,33700,5.57,2190,0,0
L000191,C00127,Personal Loan,119000,36500,8.67,5370,0,0
L000192,C00128,Personal Loan,169000,138700,9.41,7190,0,0
L000193,C00129,Car Loan,341000,95800,9.05,9110,0,0
L000194,C00130,Car Loan,108000,43700,7.89,3070,0,0
L000195,C00131,Credit Card,46000,24100,17.97,2300,1,0
L000196,C00132,Car Loan,473000,217500,5.47,6560,4,1
L000197,C00132,Mortgage,2035000,1531300,3.17,9220,0,0
L000198,C00133,Mortgage,685000,592800,2.76,2780,0,0
L000199,C00133,Credit Card,11000,2100,18.36,550,0,0
L000200,C00134,Car Loan,294000,113000,7.11,10640,1,0
L000201,C00135,Mortgage,1937000,1366200,3.42,7590,0,0
L000202,C00136,Mortgage,1207000,772500,2.65,4290,0,0
L000203,C00136,Credit Card,29000,21100,17.97,1450,0,0
L000204,C00137,Mortgage,976000,730000,3.13,5000,0,0
L000205,C00138,Mortgage,2379000,1355800,3.02,8880,0,0
L000206,C00139,Mortgage,2771000,2425700,2.79,12550,1,0
L000207,C00139,Credit Card,56000,23100,21.27,2800,0,1
L000208,C00140,Personal Loan,74000,46300,6.15,810,0,0
L000209,C00141,Mortgage,776000,380400,2.93,2740,0,0
L000210,C00142,Credit Card,24000,18600,16.9,1200,1,0
L000211,C00143,Mortgage,1134000,865900,2.9,4850,0,0
L000212,C00144,Car Loan,449000,314400,7.45,16010,0,0
L000213,C00145,Personal Loan,84000,51400,10.46,2380,0,0
L000214,C00146,Car Loan,193000,66500,7.91,2790,0,0
L000215,C00147,Mortgage,1054000,756400,3.62,5550,0,0
L000216,C00148,Credit Card,51000,27400,20.57,2550,0,0
L000217,C00149,Credit Card,30000,11500,16.52,1500,0,0
L000218,C00150,Personal Loan,50000,33900,10.71,600,0,0
L000219,C00151,Mortgage,780000,604000,2.2,3800,0,0
L000220,C00151,Credit Card,31000,18400,19.05,1550,0,0
L000221,C00152,Mortgage,1841000,1361900,3.05,8410,0,0
L000222,C00153,Credit Card,47000,5000,20.1,2350,0,0
L000223,C00153,Personal Loan,342000,156600,6.78,3600,1,0
L000224,C00154,Car Loan,362000,238800,4.11,7060,0,0
L000225,C00155,Car Loan,212000,91000,7.49,2900,0,0
L000226,C00156,Car Loan,73000,52300,8.86,1950,0,0
L000227,C00156,Credit Card,15000,11200,19.45,750,0,0
L000228,C00156,Personal Loan,38000,26600,8.93,470,0,0
L000229,C00157,Mortgage,867000,818200,2.56,4100,0,0
L000230,C00157,Credit Card,19000,12900,18.0,950,1,0
L000231,C00158,Mortgage,1119000,568400,2.89,4330,2,0
L000232,C00158,Personal Loan,140000,66700,5.47,2070,0,0
L000233,C00158,Credit Card,57000,20500,19.42,2850,0,0
L000234,C00158,Car Loan,183000,102200,7.18,4770,0,0
L000235,C00159,Car Loan,278000,113000,5.36,8970,0,0
L000236,C00160,Car Loan,151000,120000,5.35,2640,0,1
L000237,C00161,Mortgage,1537000,942300,3.49,6730,0,0
L000238,C00161,Credit Card,66000,34800,17.38,3300,0,0
L000239,C00161,Car Loan,463000,376800,6.71,9140,0,0
L000240,C00162,Credit Card,24000,5000,11.25,1200,0,0
L000241,C00163,Personal Loan,114000,98700,6.63,2890,2,0
L000242,C00164,Mortgage,2122000,1872500,3.13,8950,3,0
L000243,C00164,Credit Card,76000,62300,14.84,3800,0,0
L000244,C00164,Personal Loan,290000,63500,8.46,9330,0,0
L000245,C00165,Mortgage,1724000,1511800,2.61,7030,0,0
L000246,C00166,Mortgage,873000,758300,3.27,4510,0,0
L000247,C00167,Personal Loan,248000,214300,11.16,8460,3,0
L000248,C00167,Mortgage,1620000,897200,3.22,7120,0,0
L000249,C00167,Credit Card,48000,10700,16.18,2400,0,0
L000250,C00168,Credit Card,62000,28700,16.53,3100,3,0
L000251,C00169,Credit Card,9000,4000,21.44,450,4,1
L000252,C00169,Car Loan,58000,24700,7.19,810,1,0
L000253,C00170,Credit Card,62000,17500,15.97,3100,1,0
L000254,C00170,Car Loan,300000,89800,5.97,4140,1,0
L000255,C00170,Mortgage,1229000,614100,2.65,4360,4,1
L000256,C00170,Personal Loan,183000,157300,8.06,2480,0,0
L000257,C00171,Car Loan,233000,177400,7.82,3400,0,0
L000258,C00172,Credit Card,20000,9700,19.29,1000,0,0
L000259,C00173,Personal Loan,263000,220200,6.85,3140,0,0
L000260,C00173,Car Loan,250000,152100,8.04,5790,0,0
L000261,C00173,Credit Card,20000,12800,17.46,1000,0,0
L000262,C00173,Mortgage,1522000,955800,3.52,5850,0,0
L000263,C00174,Personal Loan,230000,143500,9.6,3380,0,1
L000264,C00174,Credit Card,21000,1800,14.97,1050,0,0
L000265,C00174,Mortgage,1722000,1501400,2.57,7650,0,0
L000266,C00174,Car Loan,96000,59800,7.11,2400,0,0
L000267,C00175,Personal Loan,73000,24500,9.07,1010,0,0
L000268,C00176,Mortgage,1650000,864900,4.25,7120,0,0
L000269,C00177,Car Loan,338000,223600,6.94,4990,0,0
L000270,C00178,Mortgage,2261000,1667000,2.71,11130,0,0
L000271,C00178,Car Loan,294000,175000,4.9,6410,0,0
L000272,C00179,Credit Card,13000,8200,12.94,650,0,0
L000273,C00180,Mortgage,1195000,803000,2.94,4730,3,0
L000274,C00180,Personal Loan,102000,45800,10.92,1180,1,0
L000275,C00181,Car Loan,162000,53100,6.64,2570,1,0
L000276,C00181,Credit Card,30000,6800,14.68,1500,1,1
L000277,C00181,Personal Loan,341000,260700,10.2,7880,0,0
L000278,C00181,Mortgage,2183000,1293400,3.16,8660,0,0
L000279,C00182,Car Loan,120000,35900,6.6,2100,1,0
L000280,C00182,Credit Card,40000,6500,15.24,2000,0,0
L000281,C00183,Personal Loan,81000,51500,8.96,890,0,0
L000282,C00184,Car Loan,259000,109900,6.12,3840,0,0
L000283,C00185,Mortgage,1487000,1385200,2.89,6610,0,0
L000284,C00186,Mortgage,1372000,678000,2.91,5430,0,0
L000285,C00186,Car Loan,467000,350900,7.79,14710,0,1
L000286,C00187,Mortgage,1603000,1078800,3.34,6840,0,0
L000287,C00188,Credit Card,11000,6900,20.32,550,0,0
L000288,C00189,Credit Card,37000,6200,16.16,1850,1,0
L000289,C00189,Mortgage,1763000,934100,3.01,6850,0,0
L000290,C00190,Mortgage,769000,447200,3.03,3180,0,0
L000291,C00191,Mortgage,1863000,1131700,3.1,8310,1,0
L000292,C00192,Personal Loan,28000,20600,11.71,380,0,0
L000293,C00193,Mortgage,1011000,921400,2.67,5190,0,0
L000294,C00193,Personal Loan,95000,25300,10.51,1060,0,0
L000295,C00194,Mortgage,644000,472800,3.35,3250,0,0
L000296,C00195,Mortgage,1218000,562400,3.13,5110,2,0
L000297,C00195,Credit Card,15000,6200,22.3,750,0,0
L000298,C00196,Personal Loan,280000,104400,5.8,4000,0,0
L000299,C00196,Mortgage,2172000,1922300,2.66,8660,0,0
L000300,C00197,Credit Card,49000,34000,20.76,2450,0,0
L000301,C00197,Personal Loan,98000,38500,8.88,1900,0,0
L000302,C00197,Mortgage,1118000,1027400,3.03,5160,2,0
L000303,C00198,Credit Card,31000,8400,17.36,1550,0,0
L000304,C00199,Car Loan,274000,72400,7.61,3540,0,0
L000305,C00200,Car Loan,96000,84200,7.7,3190,0,0
L000306,C00200,Mortgage,1334000,689000,2.6,5330,0,0
L000307,C00200,Credit Card,34000,19600,22.0,1700,0,0
L000308,C00201,Personal Loan,318000,198800,4.5,7760,3,1
L000309,C00201,Mortgage,1903000,1098700,2.62,6870,1,0
L000310,C00201,Credit Card,70000,29700,17.11,3500,0,0
L000311,C00201,Car Loan,333000,135300,9.39,4800,1,0
L000312,C00202,Personal Loan,216000,85300,8.42,6420,0,0
L000313,C00202,Credit Card,20000,6400,17.02,1000,0,0
L000314,C00203,Credit Card,20000,3100,18.06,1000,0,0
L000315,C00203,Mortgage,559000,429000,3.7,2530,1,0
L000316,C00204,Credit Card,8000,4800,18.62,400,0,0
L000317,C00205,Personal Loan,64000,36000,11.09,2300,0,0
L000318,C00206,Car Loan,246000,85700,5.59,3170,1,0
L000319,C00207,Car Loan,50000,33800,8.51,1250,0,0
L000320,C00208,Credit Card,65000,14000,19.56,3250,0,0
L000321,C00208,Mortgage,3066000,2193600,2.85,13090,0,0
L000322,C00208,Car Loan,221000,75900,8.34,4280,3,0
L000323,C00209,Credit Card,5000,1900,19.24,250,0,0
L000324,C00210,Credit Card,12000,9400,17.5,600,3,0
L000325,C00210,Mortgage,1825000,1527800,3.2,7730,1,0
L000326,C00210,Personal Loan,181000,90600,6.35,3270,0,0
L000327,C00210,Car Loan,107000,38000,10.13,1820,1,0
L000328,C00211,Mortgage,2104000,1243400,2.61,7610,3,0
L000329,C00211,Car Loan,360000,244900,8.23,7700,0,0
L000330,C00212,Mortgage,1440000,1181300,2.86,7240,0,0
L000331,C00213,Car Loan,50000,14100,6.67,870,0,0
L000332,C00214,Personal Loan,279000,166300,10.37,4250,1,0
L000333,C00215,Mortgage,1095000,964600,2.63,5290,0,0
L000334,C00216,Personal Loan,140000,101400,6.95,1530,0,0
L000335,C00217,Credit Card,40000,16600,18.51,2000,0,0
L000336,C00218,Credit Card,54000,15500,15.39,2700,2,0
L000337,C00218,Mortgage,1376000,1246400,3.4,6130,0,0
L000338,C00219,Credit Card,19000,4700,16.01,950,0,0
L000339,C00220,Car Loan,50000,39500,7.09,810,0,0
L000340,C00221,Mortgage,1162000,844100,2.75,4730,0,0
L000341,C00222,Credit Card,45000,24600,16.27,2250,0,0
L000342,C00222,Car Loan,433000,254500,5.75,6700,0,0
L000343,C00223,Credit Card,36000,15700,14.54,1800,1,0
L000344,C00224,Car Loan,349000,168200,8.24,4820,1,0
L000345,C00224,Mortgage,1978000,1643000,3.17,10630,1,0
L000346,C00225,Mortgage,2505000,1902600,2.36,9700,0,0
L000347,C00226,Mortgage,864000,513200,3.13,3620,0,0
L000348,C00227,Personal Loan,123000,46200,10.8,1620,0,0
L000349,C00228,Mortgage,1725000,1076900,2.78,6900,0,0
L000350,C00229,Credit Card,46000,33700,16.37,2300,0,0
L000351,C00229,Mortgage,1052000,872600,2.72,4350,0,0
L000352,C00230,Personal Loan,69000,31500,8.04,960,0,0
L000353,C00231,Personal Loan,182000,45100,13.08,2230,0,0
L000354,C00232,Mortgage,2201000,1921300,2.96,11610,0,0
L000355,C00232,Credit Card,64000,47400,22.0,3200,0,0
L000356,C00233,Mortgage,2124000,1232900,2.62,7800,0,0
L000357,C00234,Credit Card,20000,8400,16.08,1000,0,0
L000358,C00234,Personal Loan,94000,83900,6.11,1040,0,0
L000359,C00234,Car Loan,50000,38300,7.75,1870,0,0
L000360,C00235,Credit Card,18000,12600,19.2,900,0,0
L000361,C00236,Credit Card,17000,11200,22.91,850,0,0
L000362,C00236,Personal Loan,46000,36700,8.34,740,0,0
L000363,C00237,Credit Card,25000,18900,21.69,1250,0,0
L000364,C00237,Mortgage,2843000,1959100,2.81,13410,0,0
L000365,C00238,Credit Card,52000,26900,17.83,2600,1,0
L000366,C00239,Mortgage,684000,352400,3.14,3200,0,0
L000367,C00240,Personal Loan,85000,74600,7.84,2920,0,0
L000368,C00240,Credit Card,54000,9300,17.98,2700,0,0
L000369,C00241,Mortgage,624000,367300,2.69,2410,1,0
L000370,C00242,Personal Loan,90000,66400,7.22,1080,2,0
L000371,C00243,Personal Loan,72000,18700,7.38,1760,3,0
L000372,C00244,Credit Card,68000,47000,20.75,3400,0,0
L000373,C00245,Car Loan,50000,28900,8.31,930,0,0
L000374,C00246,Mortgage,1306000,891200,3.06,5880,0,0
L000375,C00247,Credit Card,26000,20500,21.25,1300,0,0
L000376,C00247,Personal Loan,274000,187900,8.29,6750,0,0
L000377,C00247,Car Loan,336000,170700,3.5,4640,0,0
L000378,C00248,Mortgage,1331000,979900,3.3,5490,0,0
L000379,C00249,Personal Loan,23000,19200,9.32,290,0,0
L000380,C00250,Credit Card,12000,2000,15.66,600,3,0
L000381,C00251,Credit Card,24000,7700,18.56,1200,0,0
L000382,C00251,Mortgage,1058000,526100,2.89,4950,0,0
L000383,C00252,Credit Card,22000,7400,14.67,1100,0,0
L000384,C00252,Mortgage,1094000,601100,2.75,4790,0,0
L000385,C00253,Mortgage,790000,413300,2.42,3290,0,0
L000386,C00254,Car Loan,364000,280100,7.43,8110,0,0
L000387,C00255,Mortgage,1325000,633900,3.12,5610,0,0
L000388,C00256,Personal Loan,268000,64200,9.68,11000,2,0
L000389,C00256,Credit Card,39000,3300,12.93,1950,1,0
L000390,C00256,Mortgage,1854000,1572600,3.14,8940,0,0
L000391,C00257,Mortgage,1236000,621500,3.43,6040,0,0
L000392,C00257,Car Loan,66000,17600,5.83,880,0,0
L000393,C00258,Car Loan,293000,100700,6.05,5870,0,0
L000394,C00258,Mortgage,1349000,829800,3.13,5780,0,0
L000395,C00258,Personal Loan,326000,252400,7.58,4930,1,0
L000396,C00258,Credit Card,56000,24600,17.12,2800,0,0
L000397,C00259,Credit Card,18000,10500,18.41,900,0,0
L000398,C00259,Mortgage,1609000,800100,3.23,5950,0,0
L000399,C00259,Car Loan,129000,52500,5.13,3210,0,0
L000400,C00260,Personal Loan,171000,85300,10.84,4120,0,0
L000401,C00261,Car Loan,453000,238900,5.93,7450,0,0
L000402,C00262,Mortgage,983000,885000,3.53,4750,0,0
L000403,C00263,Mortgage,629000,487000,3.02,3210,0,0
L000404,C00264,Personal Loan,273000,138400,7.27,5770,1,0
L000405,C00265,Personal Loan,19000,13900,7.19,620,0,0
L000406,C00266,Credit Card,19000,13900,15.36,950,0,0
L000407,C00267,Mortgage,1964000,1065700,3.13,7560,0,0
L000408,C00268,Personal Loan,113000,48800,7.41,1120,0,0
L000409,C00268,Mortgage,2117000,1151200,2.2,7410,1,0
L000410,C00268,Credit Card,55000,4100,17.78,2750,0,0
L000411,C00269,Car Loan,229000,193500,3.5,4020,0,0
L000412,C00269,Credit Card,37000,18000,19.56,1850,0,0
L000413,C00270,Mortgage,1083000,622100,3.35,4830,0,0
L000414,C00270,Car Loan,315000,134400,3.88,6340,0,0
L000415,C00271,Credit Card,27000,21400,13.66,1350,0,0
L000416,C00272,Credit Card,25000,11100,16.92,1250,0,0
L000417,C00273,Personal Loan,128000,101300,4.5,3580,0,0
L000418,C00274,Personal Loan,138000,103000,8.26,1880,1,0
L000419,C00275,Credit Card,31000,12300,15.28,1550,0,0
L000420,C00276,Mortgage,1627000,1127500,2.87,6440,0,0
L000421,C00277,Mortgage,2265000,2026400,2.74,11260,0,0
L000422,C00277,Personal Loan,259000,67200,8.08,8660,0,0
L000423,C00278,Personal Loan,147000,51300,9.59,2660,0,0
L000424,C00279,Mortgage,1499000,883900,3.39,5900,0,0
L000425,C00279,Credit Card,19000,3900,16.12,950,0,0
L000426,C00279,Personal Loan,256000,158300,8.62,3440,0,0
L000427,C00280,Mortgage,928000,474900,2.64,3620,0,0
L000428,C00281,Mortgage,1359000,1185700,2.45,5530,0,0
L000429,C00281,Credit Card,11000,5100,18.29,550,0,0
L000430,C00282,Credit Card,40000,18300,19.95,2000,0,0
L000431,C00282,Mortgage,1422000,711200,2.98,4970,0,0
L000432,C00282,Personal Loan,400000,254000,7.81,6180,0,0
L000433,C00283,Credit Card,16000,3300,11.36,800,0,0
L000434,C00284,Mortgage,879000,683400,3.21,4230,0,0
L000435,C00285,Credit Card,25000,14900,16.72,1250,0,0
L000436,C00285,Car Loan,241000,112600,7.13,6610,0,0
L000437,C00286,Credit Card,11000,1700,20.89,550,0,0
L000438,C00286,Personal Loan,43000,9500,10.12,540,0,0
L000439,C00287,Personal Loan,51000,26900,11.93,990,0,0
L000440,C00287,Mortgage,971000,455900,2.94,4590,1,0
L000441,C00288,Mortgage,1854000,858500,3.96,9050,0,0
L000442,C00288,Credit Card,41000,23800,19.63,2050,0,0
