customer_id,age,region,monthly_income,employment_status
C00076,56,Örebro län,28900,Permanent employment
C00077,57,Hallands län,44300,Permanent employment
C00078,20,Västra Götalands län,39000,Temporary/Probation/Freelance
C00079,39,Skåne län,42000,Permanent employment
C00080,33,Örebro län,39100,Permanent employment
C00081,66,Dalarnas län,39500,Permanent employment
C00082,61,Västmanlands län,45500,Permanent employment
C00083,39,Örebro län,50700,Permanent employment
C00084,21,Stockholms län,9900,Student
C00085,42,Hallands län,11900,Unemployed
C00086,40,Hallands län,47000,Permanent employment
C00087,58,Skåne län,55700,Permanent employment
C00088,58,Skåne län,45200,Permanent employment
C00089,66,Stockholms län,34100,Permanent employment
C00090,47,Stockholms län,58200,Permanent employment
C00091,31,Gävleborgs län,32300,Permanent employment
C00092,57,Västra Götalands län,30900,Self-employed
C00093,59,Uppsala län,18000,Unemployed
C00094,54,Södermanlands län,42100,Permanent employment
C00095,60,Hallands län,46500,Permanent employment
C00096,50,Kalmar län,48000,Permanent employment
C00097,48,Blekinge län,48100,Permanent employment
C00098,40,Stockholms län,55100,Permanent employment
C00099,22,Stockholms län,8700,Student
C00100,31,Kronobergs län,38200,Permanent employment
C00101,23,Västra Götalands län,5400,Student
C00102,56,Stockholms län,48200,Permanent employment
C00103,41,Östergötlands län,46400,Permanent employment
C00104,47,Västra Götalands län,67600,Self-employed
C00105,79,Värmlands län,26500,Retired
C00106,25,Stockholms län,18700,Student
C00107,36,Västra Götalands län,44100,Permanent employment
C00108,64,Västerbottens län,49200,Self-employed
C00109,33,Gävleborgs län,38500,Permanent employment
C00110,23,Värmlands län,25100,Permanent employment
C00111,42,Västra Götalands län,31300,Permanent employment
C00112,30,Uppsala län,39600,Permanent employment
C00113,78,Västra Götalands län,12700,Retired
C00114,70,Västra Götalands län,27100,Retired
C00115,55,Kalmar län,51100,Permanent employment
C00116,66,Skåne län,23500,Retired
C00117,68,Västra Götalands län,26600,Retired
C00118,27,Västerbottens län,33300,Temporary/Probation/Freelance
C00119,78,Södermanlands län,30600,Retired
C00120,45,Uppsala län,44300,Permanent employment
C00121,72,Hallands län,34500,Permanent employment
C00122,71,Stockholms län,12000,Retired
C00123,38,Hallands län,42600,Permanent employment
C00124,33,Stockholms län,26600,Permanent employment
C00125,28,Skåne län,38300,Permanent employment
C00126,35,Västra Götalands län,11300,Student
C00127,79,Stockholms län,20200,Retired
C00128,74,Stockholms län,29100,Retired
C00129,20,Östergötlands län,47900,Self-employed
C00130,45,Jönköpings län,11400,Unemployed
C00131,35,Västra Götalands län,41800,Permanent employment
C00132,28,Skåne län,47400,Permanent employment
C00133,25,Kronobergs län,26100,Permanent employment
C00134,36,Skåne län,43300,Permanent employment
C00135,68,Stockholms län,44400,Permanent employment
C00136,41,Västra Götalands län,40700,Permanent employment
C00137,46,Stockholms län,32000,Self-employed
C00138,62,Örebro län,50700,Permanent employment
C00139,41,Skåne län,59300,Permanent employment
C00140,73,Skåne län,21600,Retired
C00141,78,Västra Götalands län,24100,Retired
C00142,30,Västmanlands län,42100,Permanent employment
C00143,48,Jämtlands län,37900,Permanent employment
C00144,40,Skåne län,45500,Permanent employment
C00145,38,Stockholms län,55700,Permanent employment
C00146,20,Dalarnas län,23500,Unemployed
C00147,47,Stockholms län,20000,Temporary/Probation/Freelance
C00148,47,Örebro län,38700,Permanent employment
C00149,21,Västra Götalands län,26500,Temporary/Probation/Freelance
C00150,35,Gävleborgs län,12500,Unemployed
C00151,78,Gävleborgs län,31500,Retired
C00152,25,Stockholms län,38200,Permanent employment
C00153,27,Hallands län,45000,Permanent employment
C00154,51,Stockholms län,46700,Permanent employment
C00155,79,Stockholms län,23100,Retired
C00156,33,Skåne län,12200,Student
C00157,56,Stockholms län,27100,Permanent employment
C00158,61,Västra Götalands län,40700,Permanent employment
C00159,25,Västerbottens län,36000,Permanent employment
C00160,56,Skåne län,33300,Permanent employment
C00161,40,Uppsala län,54400,Permanent employment
C00162,59,Västmanlands län,22200,Retired
C00163,62,Västmanlands län,45600,Permanent employment
C00164,46,Västra Götalands län,51100,Permanent employment
C00165,25,Västra Götalands län,32200,Permanent employment
C00166,71,Dalarnas län,25900,Retired
C00167,40,Stockholms län,33600,Permanent employment
C00168,32,Västernorrlands län,41800,Permanent employment
C00169,22,Jämtlands län,7200,Student
C00170,52,Dalarnas län,43000,Permanent employment
C00171,56,Uppsala län,65200,Self-employed
C00172,20,Västmanlands län,19100,Student
C00173,51,Skåne län,40000,Permanent employment
C00174,26,Hallands län,32000,Permanent employment
C00175,62,Västmanlands län,13400,Student
C00176,33,Stockholms län,35100,Temporary/Probation/Freelance
C00177,61,Jönköpings län,34700,Permanent employment
C00178,38,Örebro län,44800,Permanent employment
C00179,73,Örebro län,23700,Retired
C00180,28,Västmanlands län,37700,Permanent employment
C00181,38,Stockholms län,49600,Permanent employment
C00182,33,Västra Götalands län,48600,Permanent employment
C00183,78,Stockholms län,22300,Retired
C00184,72,Värmlands län,36500,Retired
C00185,28,Uppsala län,37100,Permanent employment
C00186,62,Västra Götalands län,54400,Permanent employment
C00187,79,Skåne län,52600,Self-employed
C00188,52,Norrbottens län,15400,Student
C00189,51,Hallands län,37600,Temporary/Probation/Freelance
C00190,34,Västra Götalands län,23500,Temporary/Probation/Freelance
C00191,30,Jönköpings län,51600,Self-employed
C00192,72,Västra Götalands län,17500,Retired
C00193,71,Skåne län,23200,Retired
C00194,59,Stockholms län,20800,Temporary/Probation/Freelance
C00195,38,Hallands län,41400,Self-employed
C00196,36,Örebro län,45400,Permanent employment
C00197,62,Uppsala län,37000,Permanent employment
C00198,73,Stockholms län,23900,Retired
C00199,68,Hallands län,29500,Retired
C00200,58,Örebro län,36100,Permanent employment
C00201,59,Uppsala län,49200,Permanent employment
C00202,26,Västernorrlands län,44500,Permanent employment
C00203,31,Västernorrlands län,22400,Temporary/Probation/Freelance
C00204,79,Stockholms län,15000,Temporary/Probation/Freelance
C00205,49,Uppsala län,52600,Permanent employment
C00206,23,Västra Götalands län,28300,Permanent employment
C00207,32,Västerbottens län,14000,Unemployed
C00208,62,Västra Götalands län,57200,Permanent employment
C00209,23,Skåne län,12100,Student
C00210,29,Stockholms län,41300,Permanent employment
C00211,50,Skåne län,44900,Permanent employment
C00212,57,Hallands län,41700,Permanent employment
C00213,55,Östergötlands län,13700,Unemployed
C00214,33,Skåne län,37000,Permanent employment
C00215,63,Stockholms län,31200,Permanent employment
C00216,27,Skåne län,31000,Permanent employment
C00217,38,Stockholms län,44600,Permanent employment
C00218,61,Stockholms län,38200,Retired
C00219,56,Västmanlands län,33300,Permanent employment
C00220,76,Stockholms län,20300,Retired
C00221,57,Skåne län,39300,Permanent employment
C00222,50,Stockholms län,49800,Permanent employment
C00223,32,Uppsala län,38700,Permanent employment
C00224,35,Jönköpings län,40500,Permanent employment
C00225,38,Stockholms län,53100,Permanent employment
C00226,25,Stockholms län,31100,Permanent employment
C00227,66,Dalarnas län,20300,Retired
C00228,42,Stockholms län,37200,Permanent employment
C00229,70,Stockholms län,30800,Retired
C00230,63,Värmlands län,42700,Permanent employment
C00231,66,Södermanlands län,38000,Permanent employment
C00232,47,Västra Götalands län,48100,Permanent employment
C00233,53,Stockholms län,56100,Permanent employment
C00234,53,Uppsala län,15000,Temporary/Probation/Freelance
C00235,30,Skåne län,13100,Student
C00236,57,Norrbottens län,20900,Unemployed
C00237,39,Stockholms län,55900,Permanent employment
C00238,21,Kalmar län,40500,Self-employed
C00239,61,Stockholms län,24600,Retired
C00240,34,Stockholms län,48700,Self-employed
C00241,75,Gävleborgs län,22100,Retired
C00242,72,Stockholms län,30400,Retired
C00243,70,Västmanlands län,12700,Retired
C00244,42,Stockholms län,49000,Permanent employment
C00245,21,Dalarnas län,9600,Student
C00246,67,Skåne län,31000,Retired
C00247,41,Dalarnas län,52800,Permanent employment
C00248,74,Stockholms län,24700,Retired
C00249,76,Västra Götalands län,19500,Retired
C00250,65,Västra Götalands län,18200,Unemployed
C00251,41,Skåne län,36100,Permanent employment
C00252,40,Örebro län,37600,Permanent employment
C00253,72,Västra Götalands län,23400,Retired
C00254,41,Dalarnas län,41400,Permanent employment
C00255,28,Kronobergs län,36500,Permanent employment
C00256,47,Hallands län,42900,Permanent employment
C00257,67,Dalarnas län,23700,Retired
C00258,58,Stockholms län,53400,Permanent employment
C00259,53,Skåne län,36900,Permanent employment
C00260,33,Västerbottens län,34700,Permanent employment
C00261,46,Skåne län,50800,Permanent employment
C00262,69,Uppsala län,24200,Retired
C00263,25,Jönköpings län,22200,Temporary/Probation/Freelance
C00264,48,Dalarnas län,44400,Permanent employment
C00265,66,Västerbottens län,13300,Retired
C00266,62,Jämtlands län,18100,Unemployed
C00267,58,Västra Götalands län,43800,Permanent employment
C00268,59,Skåne län,58400,Permanent employment
C00269,38,Stockholms län,37200,Permanent employment
C00270,39,Stockholms län,40300,Permanent employment
C00271,69,Stockholms län,31400,Temporary/Probation/Freelance
C00272,69,Stockholms län,33100,Retired
C00273,75,Dalarnas län,20500,Retired
C00274,67,Örebro län,19000,Retired
C00275,51,Skåne län,45500,Permanent employment
C00276,47,Norrbottens län,40300,Permanent employment
C00277,66,Västerbottens län,46300,Permanent employment
C00278,57,Västra Götalands län,43500,Permanent employment
C00279,57,Skåne län,47900,Permanent employment
C00280,72,Stockholms län,30200,Retired
C00281,68,Skåne län,26500,Retired
C00282,37,Stockholms län,53100,Permanent employment
C00283,44,Kronobergs län,38900,Self-employed
C00284,29,Jämtlands län,27900,Permanent employment
C00285,48,Östergötlands län,37500,Permanent employment
C00286,20,Stockholms län,9600,Student
C00287,52,Hallands län,32500,Parental leave
C00288,51,Hallands län,55500,Self-employed
C00289,42,Stockholms län,40500,Permanent employment
C00290,49,Stockholms län,17500,Unemployed
C00291,23,Norrbottens län,0,Student
C00292,20,Uppsala län,7300,Student
C00293,70,Västmanlands län,27400,Retired
C00294,42,Skåne län,61400,Self-employed
C00295,31,Blekinge län,58600,Self-employed
C00296,46,Södermanlands län,37400,Temporary/Probation/Freelance
C00297,61,Västra Götalands län,44200,Permanent employment
C00298,30,Dalarnas län,42800,Self-employed
C00299,59,Uppsala län,29900,Permanent employment
C00300,28,Stockholms län,13000,Unemployed
C00301,20,Stockholms län,4300,Student
C00302,46,Värmlands län,56100,Self-employed
C00303,51,Blekinge län,35400,Permanent employment
C00304,64,Stockholms län,22800,Retired
C00305,57,Östergötlands län,34700,Permanent employment
C00306,69,Skåne län,23800,Retired
C00307,52,Västmanlands län,42600,Self-employed
C00308,42,Västra Götalands län,32700,Permanent employment
C00309,70,Stockholms län,26300,Retired
C00310,39,Stockholms län,43000,Permanent employment
C00311,36,Kalmar län,45200,Permanent employment
C00312,20,Stockholms län,37500,Self-employed
C00313,20,Västra Götalands län,25000,Permanent employment
C00314,75,Kalmar län,29200,Retired
C00315,66,Östergötlands län,31100,Retired
C00316,55,Skåne län,30700,Retired
C00317,38,Västra Götalands län,35400,Permanent employment
C00318,28,Skåne län,47700,Permanent employment
C00319,29,Värmlands län,34500,Temporary/Probation/Freelance
C00320,29,Västra Götalands län,46700,Permanent employment
C00321,52,Värmlands län,67200,Self-employed
C00322,57,Västra Götalands län,45400,Permanent employment
C00323,60,Stockholms län,37400,Permanent employment
C00324,37,Stockholms län,39700,Permanent employment
C00325,77,Gävleborgs län,19100,Retired
C00326,56,Jämtlands län,13300,Unemployed
C00327,52,Västra Götalands län,27200,Self-employed
C00328,45,Västra Götalands län,33000,Permanent employment
C00329,43,Uppsala län,33200,Permanent employment
C00330,31,Skåne län,37800,Permanent employment
C00331,44,Norrbottens län,43100,Permanent employment
C00332,58,Västmanlands län,46600,Permanent employment
C00333,22,Östergötlands län,28700,Permanent employment
C00334,30,Södermanlands län,46100,Permanent employment
C00335,20,Skåne län,25900,Permanent employment
C00336,20,Kalmar län,32300,Permanent employment
C00337,68,Jönköpings län,46900,Permanent employment
C00338,64,Västra Götalands län,24300,Retired
C00339,49,Stockholms län,52100,Permanent employment
C00340,33,Västra Götalands län,41700,Permanent employment
C00341,46,Västra Götalands län,50600,Permanent employment
C00342,46,Örebro län,40500,Permanent employment
C00343,29,Västmanlands län,13100,Unemployed
C00344,35,Skåne län,29700,Permanent employment
C00345,42,Värmlands län,43900,Self-employed
C00346,49,Skåne län,35400,Permanent employment
C00347,64,Västerbottens län,40300,Retired
C00348,21,Stockholms län,15200,Unemployed
C00349,43,Västernorrlands län,42200,Permanent employment
C00350,56,Uppsala län,48300,Permanent employment
C00351,51,Stockholms län,35300,Permanent employment
C00352,72,Blekinge län,20400,Retired
C00353,60,Västra Götalands län,40600,Permanent employment
C00354,31,Stockholms län,56600,Self-employed
C00355,22,Skåne län,23200,Permanent employment
C00356,55,Örebro län,19000,Retired
C00357,23,Uppsala län,10600,Student
C00358,51,Hallands län,35100,Temporary/Probation/Freelance
C00359,65,Östergötlands län,25400,Retired
C00360,45,Skåne län,38700,Permanent employment
C00361,40,Västra Götalands län,45700,Permanent employment
C00362,58,Jönköpings län,32700,Self-employed
C00363,47,Norrbottens län,38400,Permanent employment
C00364,49,Skåne län,47900,Permanent employment
C00365,73,Örebro län,27700,Retired
C00366,44,Västra Götalands län,44900,Permanent employment
C00367,74,Västmanlands län,27500,Retired
C00368,76,Stockholms län,29300,Retired
C00369,34,Stockholms län,15000,Temporary/Probation/Freelance
C00370,22,Skåne län,32900,Permanent employment
C00371,29,Västmanlands län,48800,Permanent employment
C00372,21,Stockholms län,28000,Permanent employment
C00373,29,Västerbottens län,48800,Permanent employment
C00374,63,Stockholms län,45200,Permanent employment
C00375,22,Stockholms län,10400,Student
C00376,44,Stockholms län,46900,Permanent employment
C00377,75,Hallands län,13300,Retired
C00378,23,Västernorrlands län,18400,Student
C00379,65,Uppsala län,20400,Retired
C00380,44,Skåne län,23400,Self-employed
C00381,29,Stockholms län,34300,Permanent employment
C00382,55,Västra Götalands län,43200,Permanent employment
C00383,60,Stockholms län,50900,Permanent employment
C00384,76,Skåne län,23400,Retired
C00385,64,Västra Götalands län,27400,Temporary/Probation/Freelance
C00386,74,Hallands län,21800,Retired
C00387,41,Stockholms län,35500,Permanent employment
C00388,25,Stockholms län,25800,Temporary/Probation/Freelance
C00389,64,Västra Götalands län,38900,Permanent employment
C00390,68,Örebro län,25700,Retired
C00391,73,Gävleborgs län,12000,Retired
C00392,35,Örebro län,41900,Permanent employment
C00393,43,Västerbottens län,40500,Temporary/Probation/Freelance
C00394,62,Kalmar län,45900,Permanent employment
C00395,39,Östergötlands län,37500,Temporary/Probation/Freelance
C00396,70,Stockholms län,21100,Retired
C00397,71,Skåne län,35600,Retired
C00398,38,Västra Götalands län,36400,Temporary/Probation/Freelance
C00399,60,Örebro län,43500,Permanent employment
C00400,61,Uppsala län,47500,Permanent employment
C00401,30,Skåne län,29400,Permanent employment
C00402,75,Västra Götalands län,15100,Retired
C00403,50,Skåne län,50600,Permanent employment
C00404,66,Södermanlands län,31800,Retired
C00405,39,Värmlands län,38600,Permanent employment
C00406,67,Stockholms län,29900,Retired
C00407,41,Gävleborgs län,12700,Student
C00408,23,Västerbottens län,6000,Student
C00409,65,Jönköpings län,16900,Retired
C00410,30,Jönköpings län,24200,Temporary/Probation/Freelance
C00411,40,Västra Götalands län,41600,Permanent employment
C00412,71,Skåne län,21100,Retired
C00413,79,Stockholms län,12800,Retired
C00414,52,Västernorrlands län,41600,Permanent employment
C00415,57,Blekinge län,45200,Permanent employment
C00416,40,Stockholms län,49600,Permanent employment
C00417,44,Skåne län,40900,Permanent employment
C00418,36,Stockholms län,20000,Unemployed
C00419,63,Stockholms län,30200,Temporary/Probation/Freelance
C00420,56,Skåne län,60700,Permanent employment
C00421,57,Kronobergs län,37800,Permanent employment
C00422,64,Skåne län,45500,Permanent employment
C00423,26,Norrbottens län,37400,Permanent employment
C00424,53,Västmanlands län,40300,Permanent employment
C00425,20,Stockholms län,17400,Unemployed
C00426,49,Stockholms län,50300,Permanent employment
C00427,35,Hallands län,43200,Permanent employment
C00428,69,Västra Götalands län,50700,Self-employed
C00429,42,Dalarnas län,31600,Parental leave
C00430,32,Västra Götalands län,36200,Permanent employment
C00431,32,Stockholms län,31400,Self-employed
C00432,56,Skåne län,30000,Temporary/Probation/Freelance
C00433,52,Örebro län,43700,Permanent employment
C00434,29,Västernorrlands län,30600,Permanent employment
C00435,25,Uppsala län,42600,Permanent employment
C00436,61,Skåne län,43300,Permanent employment
C00437,24,Stockholms län,28900,Temporary/Probation/Freelance
C00438,70,Skåne län,13500,Retired
C00439,59,Stockholms län,15300,Unemployed
C00440,25,Jämtlands län,27600,Permanent employment
C00441,25,Västra Götalands län,39000,Permanent employment
C00442,70,Västmanlands län,29900,Retired
C00443,44,Norrbottens län,20600,Unemployed
C00444,41,Stockholms län,14300,Unemployed
C00445,74,Västra Götalands län,36200,Retired
C00446,74,Dalarnas län,35900,Temporary/Probation/Freelance
C00447,65,Skåne län,27200,Retired
C00448,63,Västra Götalands län,50800,Permanent employment
C00449,38,Kalmar län,54400,Permanent employment
C00450,29,Västra Götalands län,43800,Permanent employment
C00451,56,Kronobergs län,42500,Self-employed
C00452,54,Skåne län,41200,Permanent employment
C00453,42,Stockholms län,21800,Self-employed
C00454,78,Stockholms län,44200,Permanent employment
C00455,26,Stockholms län,46300,Permanent employment
C00456,47,Stockholms län,38300,Permanent employment
C00457,23,Skåne län,21400,Temporary/Probation/Freelance
C00458,53,Stockholms län,21200,Unemployed
C00459,21,Stockholms län,13000,Unemployed
C00460,30,Värmlands län,26000,Permanent employment
C00461,28,Västra Götalands län,8200,Unemployed
C00462,61,Värmlands län,53000,Self-employed
C00463,60,Västernorrlands län,39700,Permanent employment
C00464,54,Stockholms län,53600,Self-employed
C00465,78,Stockholms län,22300,Retired
C00466,43,Östergötlands län,46500,Permanent employment
C00467,43,Västernorrlands län,57400,Permanent employment
C00468,74,Västra Götalands län,22600,Retired
C00469,28,Östergötlands län,46200,Permanent employment
C00470,65,Stockholms län,43800,Permanent employment
C00471,21,Västra Götalands län,4200,Student
C00472,72,Uppsala län,37700,Retired
C00473,21,Skåne län,83200,Self-employed
C00474,72,Jämtlands län,22800,Retired
C00475,46,Skåne län,47700,Self-employed
C00476,68,Västernorrlands län,32600,Retired
C00477,20,Kronobergs län,9100,Student
C00478,51,Västra Götalands län,17900,Unemployed
C00479,68,Gävleborgs län,18200,Retired
C00480,52,Hallands län,57800,Permanent employment
C00481,63,Västra Götalands län,45500,Permanent employment
C00482,63,Västra Götalands län,48300,Permanent employment
C00483,47,Dalarnas län,69400,Self-employed
C00484,59,Stockholms län,29600,Retired
C00485,50,Östergötlands län,44600,Permanent employment
C00486,70,Kronobergs län,55000,Permanent employment
C00487,21,Gävleborgs län,14200,Student
C00488,42,Västerbottens län,43800,Permanent employment
C00489,70,Stockholms län,18000,Self-employed
C00490,70,Stockholms län,23800,Retired
C00491,48,Västernorrlands län,41300,Permanent employment
C00492,51,Södermanlands län,45200,Permanent employment
C00493,42,Uppsala län,40500,Permanent employment
C00494,27,Stockholms län,33100,Temporary/Probation/Freelance
C00495,51,Södermanlands län,41900,Permanent employment
C00496,37,Västra Götalands län,55000,Permanent employment
C00497,52,Gotlands län,49300,Permanent employment
C00498,20,Skåne län,27200,Parental leave
C00499,65,Västernorrlands län,43100,Permanent employment
C00500,78,Stockholms län,34100,Temporary/Probation/Freelance
C00501,60,Stockholms län,32500,Permanent employment
C00502,54,Västmanlands län,53400,Self-employed
C00503,43,Västra Götalands län,18000,Self-employed
C00504,76,Uppsala län,34600,Retired
C00505,58,Östergötlands län,27000,Temporary/Probation/Freelance
C00506,30,Östergötlands län,45300,Permanent employment
C00507,76,Västra Götalands län,15900,Retired
C00508,69,Stockholms län,27900,Retired
C00509,76,Skåne län,15700,Retired
C00510,55,Stockholms län,40900,Permanent employment
C00511,50,Örebro län,51800,Permanent employment
C00512,43,Jönköpings län,49300,Permanent employment
C00513,79,Skåne län,27900,Retired
C00514,79,Stockholms län,21400,Retired
C00515,23,Stockholms län,4800,Student
C00516,22,Västra Götalands län,13900,Student
C00517,37,Västra Götalands län,38600,Permanent employment
C00518,78,Västra Götalands län,19500,Retired
C00519,66,Västra Götalands län,33900,Retired
C00520,28,Stockholms län,33500,Parental leave
C00521,54,Västra Götalands län,35500,Permanent employment
C00522,37,Stockholms län,44900,Permanent employment
C00523,76,Stockholms län,41900,Permanent employment
C00524,66,Västra Götalands län,21300,Retired
C00525,65,Gävleborgs län,21500,Retired
C00526,47,Västra Götalands län,54200,Permanent employment
C00527,44,Värmlands län,20000,Student
C00528,40,Norrbottens län,44700,Permanent employment
C00529,20,Stockholms län,10800,Student
C00530,75,Västerbottens län,8500,Unemployed
C00531,69,Hallands län,20800,Unemployed
C00532,79,Örebro län,11400,Unemployed
C00533,67,Västra Götalands län,20900,Retired
C00534,49,Skåne län,50500,Permanent employment
C00535,59,Västra Götalands län,50100,Self-employed
C00536,69,Östergötlands län,27700,Retired
C00537,76,Västernorrlands län,28700,Retired
C00538,31,Stockholms län,37900,Permanent employment
C00539,49,Östergötlands län,17500,Unemployed
C00540,31,Stockholms län,26000,Permanent employment
C00541,73,Uppsala län,35300,Retired
C00542,49,Stockholms län,28900,Parental leave
C00543,26,Stockholms län,17500,Unemployed
C00544,59,Skåne län,46400,Permanent employment
C00545,52,Skåne län,18000,Self-employed
C00546,38,Stockholms län,46500,Permanent employment
C00547,26,Uppsala län,23200,Permanent employment
C00548,64,Västerbottens län,12500,Student
C00549,47,Stockholms län,46500,Permanent employment
C00550,63,Östergötlands län,22000,Self-employed
C00551,53,Stockholms län,46300,Permanent employment
C00552,72,Stockholms län,20600,Retired
C00553,52,Västra Götalands län,43900,Permanent employment
C00554,52,Jönköpings län,26900,Permanent employment
C00555,72,Skåne län,15200,Retired
C00556,42,Stockholms län,39500,Permanent employment
C00557,25,Västra Götalands län,23200,Parental leave
C00558,23,Västra Götalands län,11900,Unemployed
C00559,63,Stockholms län,19200,Retired
C00560,52,Stockholms län,50400,Self-employed
C00561,57,Stockholms län,23900,Permanent employment
C00562,25,Västra Götalands län,22000,Unemployed
C00563,26,Stockholms län,33900,Self-employed
C00564,22,Skåne län,39500,Self-employed
C00565,36,Stockholms län,49200,Permanent employment
C00566,51,Stockholms län,57200,Permanent employment
C00567,40,Stockholms län,40900,Permanent employment
C00568,36,Östergötlands län,57400,Self-employed
C00569,72,Stockholms län,19200,Retired
C00570,43,Kronobergs län,51600,Permanent employment
C00571,51,Hallands län,49900,Permanent employment
C00572,58,Jönköpings län,9700,Unemployed
C00573,35,Västra Götalands län,55400,Self-employed
C00574,48,Västra Götalands län,19300,Self-employed
C00575,68,Västra Götalands län,18700,Retired
C00576,72,Västernorrlands län,14500,Retired
C00577,28,Uppsala län,30000,Parental leave
C00578,68,Stockholms län,30900,Retired
C00579,46,Hallands län,22600,Self-employed
C00580,34,Hallands län,40800,Permanent employment
C00581,51,Skåne län,13000,Unemployed
C00582,79,Stockholms län,16700,Retired
C00583,48,Skåne län,42000,Permanent employment
C00584,40,Västernorrlands län,49100,Permanent employment
C00585,57,Östergötlands län,49600,Permanent employment
C00586,31,Västerbottens län,40200,Permanent employment
C00587,22,Jönköpings län,9800,Student
C00588,28,Stockholms län,10100,Student
C00589,34,Kronobergs län,32900,Permanent employment
C00590,29,Skåne län,38700,Permanent employment
C00591,33,Västra Götalands län,18200,Temporary/Probation/Freelance
C00592,60,Skåne län,42200,Permanent employment
C00593,28,Skåne län,18500,Student
C00594,41,Stockholms län,41900,Permanent employment
C00595,66,Uppsala län,31700,Retired
C00596,48,Östergötlands län,49700,Permanent employment
C00597,59,Norrbottens län,53100,Permanent employment
C00598,28,Södermanlands län,15000,Temporary/Probation/Freelance
C00599,28,Gävleborgs län,39200,Permanent employment
C00600,22,Östergötlands län,16400,Unemployed
C00601,33,Stockholms län,43600,Permanent employment
C00602,36,Uppsala län,39600,Temporary/Probation/Freelance
C00603,30,Uppsala län,16800,Unemployed
C00604,32,Norrbottens län,39700,Permanent employment
C00605,32,Västra Götalands län,22300,Temporary/Probation/Freelance
C00606,51,Västernorrlands län,31700,Permanent employment
C00607,34,Västmanlands län,69100,Self-employed
C00608,38,Skåne län,34100,Self-employed
C00609,51,Västra Götalands län,42500,Permanent employment
C00610,64,Västra Götalands län,49300,Permanent employment
C00611,22,Västra Götalands län,9900,Student
